feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
pca4,5000,real_amplitudes,iqp_embedding,0.863,0.9095112285336856,0.915790927611966,0.8821268417680974,0.9386503067484663,0.49999999999999994,4,0.843,0.8977198697068404,0.8975070384393314
pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.862,0.9089709762532981,0.8992033620194626,0.8805111821086262,0.9393319700068167,0.5099999999999999,17,0.836,0.8929503916449086,0.8742942399762916
pca4,5000,strongly_entangling,zz_feature_map,0.8615,0.9136264421577799,0.9304255855206028,0.8419540229885057,0.9986366734832992,0.30999999999999994,2,0.848,0.9055900621118013,0.9091364307575966
xgb_pca4,5000,efficient_su2_like,ry_embedding,0.861,0.8973412112259971,0.9333862805357642,0.9790491539081386,0.8282208588957055,0.4799999999999999,9,0.878,0.9104258443465492,0.9342704293575731
ica4,5000,strongly_entangling,zz_feature_map,0.861,0.9119696010132996,0.9256584189249161,0.8515671200473093,0.9815950920245399,0.4049999999999999,4,0.854,0.9078282828282829,0.9132036523240902
pca4,5000,strongly_entangling,custom_h_ry_rz,0.859,0.9120947630922693,0.9007252743598696,0.8403216542217117,0.9972733469665985,0.3999999999999999,14,0.847,0.9050279329608939,0.8862506450838226
ica4,5000,efficient_su2_like,rx_embedding,0.858,0.9113607990012484,0.811300774640592,0.8405296488198043,0.9952283571915473,0.4749999999999999,20,0.843,0.9023024268823896,0.8280321494448448
ica4,5000,strongly_entangling,iqp_embedding,0.856,0.9101123595505618,0.8944713656669365,0.8393782383419689,0.9938650306748467,0.4149999999999999,20,0.843,0.9023024268823896,0.8858316599475757
xgb_pca4,5000,efficient_su2_like,iqp_embedding,0.856,0.9089759797724399,0.8690413614848749,0.8473777253977608,0.9802317655078391,0.37999999999999995,15,0.843,0.9009463722397476,0.8671714926600957
pca4,5000,efficient_su2_like,custom_h_ry_rz,0.855,0.909769757311761,0.9200215881347109,0.8368631940469377,0.9965916837082481,0.36999999999999994,6,0.848,0.9057071960297767,0.9038582399558533
pca4,5000,efficient_su2_like,zz_feature_map,0.8545,0.9094304388422035,0.889345462591011,0.8367697594501718,0.9959100204498977,0.30499999999999994,9,0.847,0.9052631578947369,0.8776205731921047
ica4,5000,efficient_su2_like,ry_embedding,0.8545,0.9094867807153966,0.8442508162693707,0.8363844393592678,0.9965916837082481,0.4599999999999999,19,0.842,0.9022277227722773,0.8526551905615933
ica4,5000,efficient_su2_like,iqp_embedding,0.8535,0.8967218893197039,0.9373522050463543,0.9284671532846716,0.8670756646216768,0.5049999999999999,13,0.85,0.8939179632248939,0.9271272437420482
pca4,5000,efficient_su2_like,ry_embedding,0.8535,0.8956924172303311,0.9247957887790299,0.9374068554396423,0.8575323790047716,0.5049999999999999,17,0.858,0.8976945244956772,0.9270965862930546
pca4,5000,strongly_entangling,rx_embedding,0.8535,0.9083515796058805,0.817641649752977,0.8393063583815029,0.9897750511247444,0.4799999999999999,20,0.84,0.900373599003736,0.8295088165713732
pca4,5000,efficient_su2_like,amplitude_embedding,0.85,0.9035369774919614,0.8182325098380763,0.855143031040779,0.9577368779822768,0.4599999999999999,15,0.832,0.8928571428571429,0.8389359821369264
pca4,5000,real_amplitudes,zz_feature_map,0.849,0.9063856168629882,0.9094884200375746,0.8311540648095509,0.9965916837082481,0.27999999999999997,4,0.843,0.9029066171923315,0.8928573253419583
xgb_pca4,5000,strongly_entangling,custom_h_ry_rz,0.849,0.9063275434243176,0.8937295932657296,0.8315310187820149,0.9959100204498977,0.31999999999999995,1,0.856,0.9104477611940298,0.8928726540664552
pca4,5000,real_amplitudes,ry_embedding,0.848,0.9057656540607564,0.8775973224574152,0.8305855599772598,0.9959100204498977,0.4599999999999999,7,0.847,0.9051456912585245,0.8871908068529617
pca4,5000,strongly_entangling,iqp_embedding,0.8465,0.9047471300031027,0.7967850560997352,0.8302961275626424,0.9938650306748467,0.38999999999999996,8,0.835,0.8979591836734694,0.8109457312057063
xgb_pca4,5000,custom_ansatz_1,iqp_embedding,0.846,0.8909348441926346,0.9220934351863576,0.9270449521002211,0.8575323790047716,0.4599999999999999,5,0.872,0.9084406294706724,0.9321295175028486
