DRM+VQC,Perf. Rank (of 112),f1_pm,F1_CI_95%,F1_CI_width,auc_pm,AUC_CI_95%,AUC_CI_width,tpr_pm,fpr_pm,sigma_epi_mean,entropy_mean,ece,deploy_coverage
ICA4+VQC(Custom_H_RY_RZ+EfficientSU2_like),33,0.9165 ± 0.0042,"[0.9087, 0.9254]",0.0167,0.9363 ± 0.0047,"[0.9278, 0.9450]",0.0173,0.9713 ± 0.0044,0.4082 ± 0.0216,0.057598255174531,0.9826408925312096,0.3168306734591722,0.7635
ICA4+VQC(ZZ_Feature_Map_style+custom_ansatz_1),37,0.9151 ± 0.0040,"[0.9080, 0.9230]",0.015,0.9220 ± 0.0058,"[0.9118, 0.9328]",0.021,0.9801 ± 0.0035,0.4456 ± 0.0226,0.0230809414758507,0.9676950820426709,0.2851045272173981,0.727
ICA4+VQC(ZZ_Feature_Map_style+EfficientSU2_like),30,0.9145 ± 0.0038,"[0.9074, 0.9219]",0.0145,0.9276 ± 0.0051,"[0.9180, 0.9366]",0.0186,0.9878 ± 0.0030,0.4749 ± 0.0223,0.0292354674793469,0.8996755185014169,0.2293424341268836,0.713
ICA4+VQC(IQP_style_encoding+custom_ansatz_1),43,0.9143 ± 0.0047,"[0.9049, 0.9239]",0.019,0.9159 ± 0.0072,"[0.9015, 0.9299]",0.0284,0.9359 ± 0.0061,0.3066 ± 0.0197,0.0182668992538938,0.9824212674089454,0.3219216357797383,0.0
ICA4+VQC(ZZ_Feature_Map_style+Real_Amplitude_like),39,0.9111 ± 0.0040,"[0.9039, 0.9190]",0.0151,0.9227 ± 0.0053,"[0.9134, 0.9314]",0.018,0.9657 ± 0.0042,0.4245 ± 0.0208,0.0502843734566157,0.9282700967425428,0.2648758418309191,0.5855
XGB_PCA4+VQC(ZZ_Feature_Map_style+strongly_entangling),36,0.9086 ± 0.0054,"[0.8983, 0.9188]",0.0206,0.9422 ± 0.0044,"[0.9339, 0.9509]",0.017,0.8454 ± 0.0090,0.0422 ± 0.0086,0.0423298500299561,0.8206135750011885,0.1876046966555218,0.6825
PCA4+VQC(Custom_H_RY_RZ+custom_ansatz_1),54,0.9071 ± 0.0043,"[0.8992, 0.9159]",0.0168,0.8906 ± 0.0075,"[0.8752, 0.9039]",0.0287,0.9659 ± 0.0049,0.4510 ± 0.0221,0.0220919259765995,0.9858376772278996,0.3019713470702371,0.5725
PCA4+VQC(RX_Angle_Encoding+EfficientSU2_like),35,0.9067 ± 0.0039,"[0.8997, 0.9144]",0.0147,0.8948 ± 0.0086,"[0.8769, 0.9093]",0.0323,0.9829 ± 0.0036,0.5098 ± 0.0230,0.009237616794316,0.9983647137323398,0.3649876189420621,0.6635
PCA4+VQC(Custom_H_RY_RZ+strongly_entangling),50,0.9046 ± 0.0033,"[0.8985, 0.9110]",0.0125,0.8946 ± 0.0070,"[0.8783, 0.9076]",0.0293,0.9915 ± 0.0025,0.5521 ± 0.0204,0.0214104475458704,0.9883038303107358,0.3506873845135172,0.132
ICA4+VQC(IQP_style_encoding+EfficientSU2_like),48,0.9035 ± 0.0034,"[0.8975, 0.9098]",0.0124,0.9292 ± 0.0054,"[0.9182, 0.9404]",0.0222,0.9888 ± 0.0026,0.5504 ± 0.0208,0.058122776071543,0.9112059606660518,0.2271528084271898,0.753
ICA4+VQC(RY_Angle_Encoding+EfficientSU2_like),53,0.9034 ± 0.0035,"[0.8963, 0.9101]",0.0137,0.8352 ± 0.0122,"[0.8110, 0.8596]",0.0487,0.9901 ± 0.0026,0.5555 ± 0.0210,0.0309285477275098,0.9941483657759372,0.3349408809001247,0.215
ICA4+VQC(IQP_style_encoding+strongly_entangling),52,0.9024 ± 0.0033,"[0.8964, 0.9084]",0.012,0.8851 ± 0.0075,"[0.8694, 0.8990]",0.0296,0.9885 ± 0.0027,0.5570 ± 0.0205,0.0252634551314451,0.9497408511089102,0.2479252780190358,0.6755
PCA4+VQC(Custom_H_RY_RZ+Real_Amplitude_like),70,0.9006 ± 0.0045,"[0.8914, 0.9094]",0.018,0.8004 ± 0.0123,"[0.7792, 0.8243]",0.0451,0.9650 ± 0.0053,0.4899 ± 0.0229,0.0228946650669806,0.9427034015895456,0.2119482535613081,0.062
XGB_PCA4+VQC(Custom_H_RY_RZ+Real_Amplitude_like),47,0.8991 ± 0.0033,"[0.8929, 0.9052]",0.0123,0.8020 ± 0.0146,"[0.7748, 0.8299]",0.0552,0.9910 ± 0.0025,0.5873 ± 0.0200,0.0190088878725028,0.8944430675824238,0.2177744470511873,0.08
ICA4+VQC(RX_Angle_Encoding+EfficientSU2_like),58,0.8981 ± 0.0038,"[0.8912, 0.9051]",0.0139,0.7836 ± 0.0159,"[0.7550, 0.8136]",0.0586,0.9787 ± 0.0036,0.5530 ± 0.0211,0.0062012390843279,0.997555089002892,0.3343349338911474,0.065
PCA4+VQC(IQP_style_encoding+EfficientSU2_like),69,0.8978 ± 0.0035,"[0.8909, 0.9040]",0.0131,0.8764 ± 0.0075,"[0.8620, 0.8902]",0.0282,0.9915 ± 0.0023,0.5978 ± 0.0216,0.0364018120110501,0.9448848209502124,0.2309370689446728,0.616
ICA4+VQC(Amplitude_Embedding+Real_Amplitude_like),73,0.8969 ± 0.0034,"[0.8903, 0.9036]",0.0133,0.7735 ± 0.0161,"[0.7432, 0.8046]",0.0614,0.9911 ± 0.0022,0.6027 ± 0.0210,0.0063171578145725,0.9986695347024228,0.3190593898373346,0.0005
PCA4+VQC(RX_Angle_Encoding+strongly_entangling),61,0.8955 ± 0.0039,"[0.8888, 0.9038]",0.015,0.8258 ± 0.0127,"[0.8018, 0.8505]",0.0487,0.9659 ± 0.0045,0.5264 ± 0.0207,0.0033001505196147,0.9985061800954804,0.3496116877456506,0.128
