feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,TPR,FPR,TP,TN,FP,FN,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
pca4,5000,EfficientSU2_like,rx_embedding,0.8835,0.924765902486277,0.9166599523475176,0.8785276073619632,0.9761417859577368,0.9761417859577368,0.3714821763602251,1432,335,198,35,0.4949999999999999,18,0.866,0.9143222506393862,0.9305710971790035
xgb_pca4,5000,strongly_entangling,ZZ_Feature_Map_style,0.88,0.9109792284866468,0.9425075232347416,0.999186330349878,0.8370824812542604,0.8370824812542604,0.0018761726078799,1228,532,1,239,0.4499999999999999,19,0.889,0.918081180811808,0.9384858285942026
ica4,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.8795,0.9221827575072652,0.9285865015327832,0.8760736196319019,0.9734151329243352,0.9734151329243352,0.3789868667917448,1428,331,202,39,0.4349999999999999,15,0.861,0.9112954690491384,0.90813495409047
xgb_pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.876,0.9215686274509804,0.8771944633084839,0.8595870206489675,0.9931833674164964,0.9931833674164964,0.4465290806754221,1457,295,238,10,0.3899999999999999,3,0.867,0.916509730069052,0.8746416910648864
ica4,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.8745,0.9188490139023602,0.9292016610586116,0.8739237392373924,0.9686434901158828,0.9686434901158828,0.3846153846153846,1421,328,205,46,0.3749999999999999,20,0.852,0.9056122448979592,0.91084813832641
pca4,5000,Real_Amplitude_like,IQP_style_encoding,0.8745,0.91978267817194,0.9270722626999748,0.8658243080625753,0.9809134287661896,0.9809134287661896,0.4183864915572232,1439,310,223,28,0.4699999999999999,20,0.859,0.9112649465072372,0.9108736862005712
xgb_pca4,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.8735,0.9061920652576936,0.9471576688395482,0.9934959349593496,0.8329925017041582,0.8329925017041582,0.0150093808630394,1222,525,8,245,0.4449999999999999,6,0.887,0.9167280766396464,0.9382201307029242
xgb_pca4,5000,strongly_entangling,IQP_style_encoding,0.8725,0.906215520411916,0.9364518468214412,0.9840255591054312,0.8398091342876619,0.8398091342876619,0.0375234521575985,1232,513,20,235,0.4749999999999999,2,0.891,0.92014652014652,0.9398960712479116
ica4,5000,custom_ansatz_1,IQP_style_encoding,0.8715,0.91355533131517,0.9183922466879224,0.901726427622842,0.9256987048398092,0.9256987048398092,0.2776735459662289,1358,385,148,109,0.4699999999999999,20,0.858,0.906208718626156,0.911088288343527
xgb_pca4,5000,EfficientSU2_like,ry_embedding,0.8675,0.9032493610806864,0.9331663066512684,0.9724842767295596,0.8432174505794138,0.8432174505794138,0.0656660412757973,1237,498,35,230,0.4749999999999999,8,0.877,0.9105454545454544,0.9341580187112628
pca4,5000,strongly_entangling,ZZ_Feature_Map_style,0.8615,0.91362644215778,0.9304255855206028,0.8419540229885057,0.9986366734832992,0.9986366734832992,0.5159474671669794,1465,258,275,2,0.3099999999999999,2,0.848,0.9055900621118012,0.9091364307575966
ica4,5000,strongly_entangling,ZZ_Feature_Map_style,0.861,0.9119696010132996,0.925658418924916,0.8515671200473093,0.98159509202454,0.98159509202454,0.4709193245778612,1440,282,251,27,0.4049999999999999,4,0.854,0.9078282828282828,0.9132036523240902
xgb_pca4,5000,Real_Amplitude_like,custom_h_ry_rz,0.861,0.91191381495564,0.8136936300934504,0.85198342214328,0.9809134287661896,0.9809134287661896,0.4690431519699812,1439,283,250,28,0.3199999999999999,18,0.849,0.9053291536050156,0.8298358293606388
ica4,5000,EfficientSU2_like,IQP_style_encoding,0.8595,0.9119949890385216,0.9347943691801242,0.8435689455388181,0.992501704158146,0.992501704158146,0.5065666041275797,1456,263,270,11,0.3899999999999999,20,0.847,0.9049098819142324,0.9250783042343046
xgb_pca4,5000,EfficientSU2_like,IQP_style_encoding,0.8595,0.9113844213181962,0.8866341565728069,0.8480046948356808,0.9850034083162916,0.9850034083162916,0.4859287054409005,1445,274,259,22,0.3899999999999999,10,0.854,0.9085213032581454,0.8890353633674142
pca4,5000,strongly_entangling,custom_h_ry_rz,0.859,0.9120947630922692,0.9007252743598696,0.8403216542217117,0.9972733469665984,0.9972733469665984,0.5215759849906192,1463,255,278,4,0.3999999999999999,14,0.847,0.905027932960894,0.8862506450838226
pca4,5000,EfficientSU2_like,custom_h_ry_rz,0.8575,0.9112426035502958,0.9167641841590668,0.8388761467889908,0.9972733469665984,0.9972733469665984,0.5272045028142589,1463,252,281,4,0.3649999999999999,13,0.85,0.9069478908188584,0.9003888386447364
ica4,5000,strongly_entangling,IQP_style_encoding,0.856,0.9101123595505618,0.8944713656669365,0.8393782383419689,0.9938650306748468,0.9938650306748468,0.5234521575984991,1458,254,279,9,0.4149999999999999,20,0.843,0.9023024268823896,0.8858316599475757
ica4,5000,EfficientSU2_like,ry_embedding,0.856,0.9101123595505618,0.8442821497587322,0.8393782383419689,0.9938650306748468,0.9938650306748468,0.5234521575984991,1458,254,279,9,0.4599999999999999,20,0.844,0.9029850746268656,0.8516460495322185
pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.855,0.9069319640564828,0.908630905563421,0.8568829593693147,0.9631901840490796,0.9631901840490796,0.4427767354596623,1413,297,236,54,0.4799999999999999,18,0.843,0.9003174603174603,0.8851061003213924
pca4,5000,EfficientSU2_like,amplitude_embedding,0.8535,0.908637355784222,0.8117234570174866,0.8373563218390805,0.9931833674164964,0.9931833674164964,0.5309568480300187,1457,250,283,10,0.4699999999999999,19,0.84,0.9008674101610904,0.8318745497187179
pca4,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.853,0.90863890615289,0.9003940346151929,0.8349514563106796,0.996591683708248,0.996591683708248,0.5422138836772983,1462,244,289,5,0.29,14,0.847,0.9052631578947368,0.8873032174992719
pca4,5000,EfficientSU2_like,ry_embedding,0.8515,0.9075054500155716,0.8967222612292194,0.8354357798165137,0.9931833674164964,0.9931833674164964,0.5384615384615384,1457,246,287,10,0.4749999999999999,14,0.839,0.8996884735202493,0.8988406374705561
ica4,5000,EfficientSU2_like,rx_embedding,0.8505,0.9067082683307331,0.8003110328413335,0.836018411967779,0.9904567143830948,0.9904567143830948,0.5347091932457786,1453,248,285,14,0.4749999999999999,18,0.835,0.8973242065961419,0.8181042455457281
xgb_pca4,5000,strongly_entangling,custom_h_ry_rz,0.849,0.9063275434243176,0.8937295932657296,0.8315310187820149,0.9959100204498976,0.9959100204498976,0.5553470919324578,1461,237,296,6,0.3199999999999999,1,0.856,0.9104477611940298,0.8928726540664552
pca4,5000,Real_Amplitude_like,ry_embedding,0.848,0.9057656540607564,0.8775973224574152,0.8305855599772598,0.9959100204498976,0.9959100204498976,0.5590994371482176,1461,235,298,6,0.4599999999999999,7,0.847,0.9051456912585244,0.8871908068529617
pca4,5000,strongly_entangling,rx_embedding,0.848,0.9034920634920636,0.8377487974974134,0.845513963161022,0.9700068166325836,0.9700068166325836,0.4878048780487805,1423,273,260,44,0.4749999999999999,20,0.832,0.8940731399747793,0.8408725109983599
pca4,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.8475,0.9056019808108944,0.90637041811664,0.8293650793650794,0.9972733469665984,0.9972733469665984,0.5647279549718575,1463,232,301,4,0.2799999999999999,18,0.839,0.9003095975232198,0.8907828379600534
pca4,5000,strongly_entangling,IQP_style_encoding,0.8465,0.9047471300031028,0.7967850560997352,0.8302961275626424,0.9938650306748468,0.9938650306748468,0.5590994371482176,1458,235,298,9,0.3899999999999999,8,0.835,0.8979591836734694,0.8109457312057063
xgb_pca4,5000,custom_ansatz_1,IQP_style_encoding,0.846,0.8909348441926346,0.9220934351863576,0.9270449521002212,0.8575323790047716,0.8575323790047716,0.1857410881801125,1258,434,99,209,0.4599999999999999,5,0.872,0.9084406294706724,0.9321295175028486
pca4,5000,Real_Amplitude_like,rx_embedding,0.846,0.9043478260869564,0.8789401862871861,0.8305761551625784,0.992501704158146,0.992501704158146,0.5572232645403377,1456,236,297,11,0.4849999999999999,11,0.835,0.8970679975046787,0.8932405434543793
pca4,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.8435,0.903005887821506,0.9181390209371656,0.8278409090909091,0.9931833674164964,0.9931833674164964,0.5684803001876173,1457,230,303,10,0.3,6,0.84,0.9011124845488258,0.898125296994037
ica4,5000,strongly_entangling,amplitude_embedding,0.8435,0.899647322859891,0.8616811887797973,0.8492736077481841,0.956373551465576,0.956373551465576,0.4671669793621013,1403,284,249,64,0.5449999999999999,19,0.828,0.8908629441624365,0.8657663595812193
pca4,5000,custom_ansatz_1,IQP_style_encoding,0.8405,0.9007158418923125,0.9001369721106366,0.8287514318442154,0.9863667348329924,0.9863667348329924,0.5609756097560976,1447,234,299,20,0.4149999999999999,3,0.832,0.896168108776267,0.8873594228224269
pca4,5000,EfficientSU2_like,IQP_style_encoding,0.84,0.900990099009901,0.8848014671746529,0.8249291784702549,0.992501704158146,0.992501704158146,0.5797373358348968,1456,224,309,11,0.3999999999999999,19,0.83,0.895320197044335,0.8742584729524656
pca4,5000,Real_Amplitude_like,custom_h_ry_rz,0.84,0.8977635782747604,0.8163774393760926,0.8448586891160553,0.9577368779822768,0.9577368779822768,0.4840525328330206,1405,275,258,62,0.4449999999999999,19,0.83,0.8925410872313527,0.7560075826090511
pca4,5000,custom_ansatz_1,rx_embedding,0.8365,0.8989180834621329,0.879350718943716,0.8223981900452488,0.9911383776414452,0.9911383776414452,0.5891181988742964,1454,219,314,13,0.4899999999999999,13,0.833,0.896594427244582,0.894134719050028
pca4,5000,strongly_entangling,ry_embedding,0.8345,0.8933977455716586,0.8526469125002718,0.8467643467643468,0.94546693933197,0.94546693933197,0.4709193245778612,1387,282,251,80,0.4899999999999999,19,0.822,0.8858974358974359,0.8522975203233338
ica4,5000,Real_Amplitude_like,amplitude_embedding,0.8335,0.8969996906897618,0.7814936738324438,0.8210645526613817,0.9884117246080436,0.9884117246080436,0.5928705440900562,1450,217,316,17,0.4949999999999999,20,0.828,0.8934324659231723,0.8061836074620231
ica4,5000,strongly_entangling,custom_h_ry_rz,0.829,0.8855421686746988,0.8668058129377896,0.8698224852071006,0.901840490797546,0.901840490797546,0.3714821763602251,1323,335,198,144,0.5049999999999999,19,0.806,0.8713527851458885,0.83217090505899
ica4,5000,custom_ansatz_1,amplitude_embedding,0.8205,0.8841561794127137,0.7472640748115835,0.8394607843137255,0.9338786639400136,0.9338786639400136,0.4915572232645403,1370,271,262,97,0.4999999999999999,19,0.816,0.8808290155440415,0.7672077706414049
ica4,5000,EfficientSU2_like,amplitude_embedding,0.8135,0.8804870233899391,0.721631362137123,0.8307134220072552,0.9366053169734152,0.9366053169734152,0.525328330206379,1374,253,280,93,0.4699999999999999,20,0.805,0.8737864077669902,0.7319772521728468
ica4,5000,custom_ansatz_1,rx_embedding,0.8085,0.8793700787401575,0.7250985086537982,0.8173302107728337,0.9516019086571234,0.9516019086571234,0.5853658536585366,1396,221,312,71,0.5099999999999999,20,0.789,0.8677115987460815,0.7204602705008917
ica4,5000,Real_Amplitude_like,ry_embedding,0.808,0.8757281553398059,0.7148460630429806,0.833641404805915,0.9222903885480572,0.9222903885480572,0.5065666041275797,1353,263,270,114,0.5099999999999999,20,0.777,0.8547231270358306,0.7004307371583609
xgb_pca4,5000,EfficientSU2_like,custom_h_ry_rz,0.8075,0.8580906745300405,0.8263255025188289,0.9341894060995184,0.7934560327198364,0.7934560327198364,0.1538461538461538,1164,451,82,303,0.4849999999999999,2,0.812,0.8592814371257484,0.8345417477811672
xgb_pca4,5000,custom_ansatz_1,rx_embedding,0.795,0.868082368082368,0.89736299911371,0.8220597196831201,0.9195637355146558,0.9195637355146558,0.5478424015009381,1349,241,292,118,0.5199999999999999,20,0.8,0.8716302952503209,0.8975990107863125
ica4,5000,custom_ansatz_1,ry_embedding,0.7855,0.8632451386675167,0.6859879193412038,0.8107784431137725,0.9229720518064076,0.9229720518064076,0.5928705440900562,1354,217,316,113,0.5199999999999999,16,0.76,0.8459563543003851,0.6675046369391603
xgb_pca4,5000,Real_Amplitude_like,amplitude_embedding,0.7835,0.8692237994563576,0.8226652393942533,0.7803687635574837,0.9809134287661896,0.9809134287661896,0.7598499061913696,1439,128,405,28,0.5049999999999999,20,0.76,0.8574821852731591,0.8077803495971101
xgb_pca4,5000,strongly_entangling,rx_embedding,0.771,0.8474350433044637,0.7478255197842211,0.8286644951140065,0.8670756646216768,0.8670756646216768,0.4934333958724202,1272,270,263,195,0.4749999999999999,20,0.771,0.8472314876584389,0.7732421785183256
ica4,5000,Real_Amplitude_like,custom_h_ry_rz,0.7645,0.8608567208271787,0.455613234754339,0.7596454640250261,0.9931833674164964,0.9931833674164964,0.8649155722326454,1457,72,461,10,0.4199999999999999,19,0.759,0.8586510263929619,0.387270005262862
xgb_pca4,5000,strongly_entangling,ry_embedding,0.7635,0.8419645840294019,0.7039407298273077,0.8256880733944955,0.8588957055214724,0.8588957055214724,0.49906191369606,1260,267,266,207,0.4699999999999999,1,0.764,0.8420348058902276,0.7256107219318281
xgb_pca4,5000,strongly_entangling,amplitude_embedding,0.7635,0.8597687518529499,0.4395896719703394,0.7607555089192025,0.9884117246080436,0.9884117246080436,0.8555347091932458,1450,77,456,17,0.5299999999999999,1,0.76,0.8591549295774648,0.4835139568036544
xgb_pca4,5000,custom_ansatz_1,ry_embedding,0.7615,0.8587503701510216,0.566572794090376,0.7591623036649214,0.9884117246080436,0.9884117246080436,0.8630393996247655,1450,73,460,17,0.4549999999999999,20,0.758,0.857981220657277,0.5773870656222695
ica4,5000,custom_ansatz_1,custom_h_ry_rz,0.759,0.8570581257413997,0.4079434871743715,0.7585301837270341,0.9850034083162916,0.9850034083162916,0.8630393996247655,1445,73,460,22,0.4649999999999999,17,0.747,0.8505611340815121,0.3462299002100035
ica4,5000,strongly_entangling,rx_embedding,0.7555,0.8550252001185888,0.3660889794362786,0.7565582371458552,0.9829584185412408,0.9829584185412408,0.8705440900562852,1442,69,464,25,0.4599999999999999,19,0.753,0.8549618320610687,0.3618370965351973
ica4,5000,strongly_entangling,ry_embedding,0.754,0.8542654028436019,0.3439790462085839,0.7553693033001572,0.9829584185412408,0.9829584185412408,0.8761726078799249,1442,66,467,25,0.4449999999999999,17,0.754,0.8558030480656507,0.3427400605995575
ica4,5000,strongly_entangling,rz_embedding,0.7335,0.8462647822324777,0.5216386519693418,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,8,0.733,0.845931909982689,0.5035511545084334
ica4,5000,Real_Amplitude_like,rx_embedding,0.7335,0.8462647822324777,0.519875024139576,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,1,0.733,0.845931909982689,0.4772700563586104
ica4,5000,Real_Amplitude_like,rz_embedding,0.7335,0.8462647822324777,0.5133710869907189,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,6,0.733,0.845931909982689,0.4863344421110719
ica4,5000,custom_ansatz_1,rz_embedding,0.7335,0.8462647822324777,0.5121388495621625,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,7,0.733,0.845931909982689,0.5219047473059767
ica4,5000,EfficientSU2_like,rz_embedding,0.7335,0.8462647822324777,0.508945391483174,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,7,0.733,0.845931909982689,0.4789332229665169
xgb_pca4,5000,EfficientSU2_like,rz_embedding,0.7335,0.8462647822324777,0.508208095294733,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,7,0.733,0.845931909982689,0.5056690732764126
autoencoder,5000,Real_Amplitude_like,rz_embedding,0.7335,0.8462647822324777,0.5064949847233253,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,6,0.733,0.845931909982689,0.4930560878029339
autoencoder,5000,EfficientSU2_like,rz_embedding,0.7335,0.8462647822324777,0.5045638186443214,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,7,0.733,0.845931909982689,0.4887819284557332
pca4,5000,Real_Amplitude_like,rz_embedding,0.7335,0.8462647822324777,0.5041456124801927,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,6,0.733,0.845931909982689,0.4910148126574388
xgb_pca4,5000,Real_Amplitude_like,rz_embedding,0.7335,0.8462647822324777,0.5030182463221518,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,6,0.733,0.845931909982689,0.5082161963303033
autoencoder,5000,custom_ansatz_1,rz_embedding,0.7335,0.8462647822324777,0.502248977185383,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,7,0.733,0.845931909982689,0.4900388838644736
autoencoder,5000,strongly_entangling,rz_embedding,0.7335,0.8462647822324777,0.5012501422796201,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,8,0.733,0.845931909982689,0.4702495005390602
xgb_pca4,5000,strongly_entangling,rz_embedding,0.7335,0.8462647822324777,0.5007417724012067,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,8,0.733,0.845931909982689,0.5063282084297764
pca4,5000,EfficientSU2_like,rz_embedding,0.7335,0.8462647822324777,0.4927012153557118,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,7,0.733,0.845931909982689,0.4929232388572947
pca4,5000,custom_ansatz_1,rz_embedding,0.7335,0.8462647822324777,0.4879187017448276,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,7,0.733,0.845931909982689,0.4891012768827505
xgb_pca4,5000,custom_ansatz_1,rz_embedding,0.7335,0.8462647822324777,0.48499445589076,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,7,0.733,0.845931909982689,0.49493130176638
pca4,5000,strongly_entangling,rz_embedding,0.7335,0.8462647822324777,0.47418887827387,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,8,0.733,0.845931909982689,0.491699495684964
xgb_pca4,5000,custom_ansatz_1,amplitude_embedding,0.7335,0.8462647822324777,0.2216786821006482,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,1,0.733,0.845931909982689,0.2055326476283908
pca4,5000,strongly_entangling,amplitude_embedding,0.7335,0.8462647822324777,0.2010510147574339,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,1,0.733,0.845931909982689,0.1840060088600028
pca4,5000,Real_Amplitude_like,amplitude_embedding,0.7335,0.8462647822324777,0.0960326686796835,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,1,0.733,0.845931909982689,0.0745870186141811
pca4,5000,custom_ansatz_1,amplitude_embedding,0.7335,0.8462647822324777,0.0887767277861547,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,1,0.733,0.845931909982689,0.0943993950263398
xgb_pca4,5000,EfficientSU2_like,amplitude_embedding,0.7335,0.8462647822324777,0.0538756968504088,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,1,0.733,0.845931909982689,0.0479380310764341
