DRM+VQC(Encoding+Ansatz),DRM,feature_set,train_size,ansatz,encoding,threshold,TP,TN,FP,FN,TPR_point,FPR_point,elapsed_s,gpu_id,accuracy_mean_B,accuracy_std_B,accuracy_ci_low_B,accuracy_ci_high_B,accuracy_ci_width_B,accuracy_pm_B,accuracy_ci_str_B,f1_mean_B,f1_std_B,f1_ci_low_B,f1_ci_high_B,f1_ci_width_B,f1_pm_B,f1_ci_str_B,auc_mean_B,auc_std_B,auc_ci_low_B,auc_ci_high_B,auc_ci_width_B,auc_pm_B,auc_ci_str_B,tpr_mean_B,tpr_std_B,tpr_ci_low_B,tpr_ci_high_B,tpr_ci_width_B,tpr_pm_B,tpr_ci_str_B,fpr_mean_B,fpr_std_B,fpr_ci_low_B,fpr_ci_high_B,fpr_ci_width_B,fpr_pm_B,fpr_ci_str_B,prec_mean_B,prec_std_B,prec_ci_low_B,prec_ci_high_B,prec_ci_width_B,prec_pm_B,prec_ci_str_B,n_subsets,n_valid,subset_size
ICA4+VQC(IQP_style_encoding+strongly_entangling),ICA4,ica4,5000,strongly_entangling,IQP_style_encoding,0.4149999999999999,1458,254,279,9,0.9938650306748468,0.5234521575984991,125.7,4,0.8431,0.0058,0.8325,0.8535,0.0211,0.8431 ± 0.0058,"[0.8325, 0.8535]",0.9024,0.0033,0.8964,0.9084,0.012,0.9024 ± 0.0033,"[0.8964, 0.9084]",0.8851,0.0075,0.8694,0.899,0.0296,0.8851 ± 0.0075,"[0.8694, 0.8990]",0.9885,0.0027,0.983,0.9932,0.0102,0.9885 ± 0.0027,"[0.9830, 0.9932]",0.557,0.0205,0.5197,0.5948,0.0751,0.5570 ± 0.0205,"[0.5197, 0.5948]",0.8301,0.0052,0.8209,0.8396,0.0187,0.8301 ± 0.0052,"[0.8209, 0.8396]",200,200,2000
ICA4+VQC(RY_Angle_Encoding+EfficientSU2_like),ICA4,ica4,5000,EfficientSU2_like,RY_Angle_Encoding,0.4599999999999999,1458,254,279,9,0.9938650306748468,0.5234521575984991,101.6,4,0.8447,0.006,0.833,0.856,0.023,0.8447 ± 0.0060,"[0.8330, 0.8560]",0.9034,0.0035,0.8963,0.9101,0.0137,0.9034 ± 0.0035,"[0.8963, 0.9101]",0.8352,0.0122,0.811,0.8596,0.0487,0.8352 ± 0.0122,"[0.8110, 0.8596]",0.9901,0.0026,0.985,0.9946,0.0096,0.9901 ± 0.0026,"[0.9850, 0.9946]",0.5555,0.021,0.5159,0.5967,0.0807,0.5555 ± 0.0210,"[0.5159, 0.5967]",0.8307,0.0053,0.8208,0.8408,0.0199,0.8307 ± 0.0053,"[0.8208, 0.8408]",200,200,2000
PCA4+VQC(Custom_H_RY_RZ+custom_ansatz_1),PCA4,pca4,5000,custom_ansatz_1,Custom_H_RY_RZ,0.4799999999999999,1413,297,236,54,0.9631901840490796,0.4427767354596623,113.6,5,0.8548,0.007,0.8425,0.8695,0.027,0.8548 ± 0.0070,"[0.8425, 0.8695]",0.9071,0.0043,0.8992,0.9159,0.0168,0.9071 ± 0.0043,"[0.8992, 0.9159]",0.8906,0.0075,0.8752,0.9039,0.0287,0.8906 ± 0.0075,"[0.8752, 0.9039]",0.9659,0.0049,0.9564,0.9755,0.0191,0.9659 ± 0.0049,"[0.9564, 0.9755]",0.451,0.0221,0.4108,0.4916,0.0808,0.4510 ± 0.0221,"[0.4108, 0.4916]",0.855,0.0061,0.8437,0.8665,0.0228,0.8550 ± 0.0061,"[0.8437, 0.8665]",200,200,2000
PCA4+VQC(Amplitude_Embedding+EfficientSU2_like),PCA4,pca4,5000,EfficientSU2_like,Amplitude_Embedding,0.4699999999999999,1457,250,283,10,0.9931833674164964,0.5309568480300187,96.3,4,0.8121,0.0085,0.794,0.8295,0.0355,0.8121 ± 0.0085,"[0.7940, 0.8295]",0.8718,0.0059,0.8597,0.8838,0.0241,0.8718 ± 0.0059,"[0.8597, 0.8838]",0.8027,0.0157,0.7736,0.8333,0.0597,0.8027 ± 0.0157,"[0.7736, 0.8333]",0.871,0.0084,0.8528,0.8875,0.0348,0.8710 ± 0.0084,"[0.8528, 0.8875]",0.3497,0.0204,0.3114,0.3903,0.0789,0.3497 ± 0.0204,"[0.3114, 0.3903]",0.8727,0.0067,0.8591,0.8852,0.0261,0.8727 ± 0.0067,"[0.8591, 0.8852]",200,200,2000
PCA4+VQC(ZZ_Feature_Map_style+EfficientSU2_like),PCA4,pca4,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.29,1462,244,289,5,0.996591683708248,0.5422138836772983,144.3,6,0.7334,0.0002,0.733,0.7335,0.0005,0.7334 ± 0.0002,"[0.7330, 0.7335]",0.8462,0.0001,0.8459,0.8463,0.0003,0.8462 ± 0.0001,"[0.8459, 0.8463]",0.8913,0.0071,0.8771,0.9045,0.0273,0.8913 ± 0.0071,"[0.8771, 0.9045]",0.9999,0.0003,0.9993,1.0,0.0007,0.9999 ± 0.0003,"[0.9993, 1.0000]",1.0,0.0,1.0,1.0,0.0,1.0000 ± 0.0000,"[1.0000, 1.0000]",0.7335,0.0001,0.7334,0.7335,0.0001,0.7335 ± 0.0001,"[0.7334, 0.7335]",200,200,2000
PCA4+VQC(RY_Angle_Encoding+EfficientSU2_like),PCA4,pca4,5000,EfficientSU2_like,RY_Angle_Encoding,0.4749999999999999,1457,246,287,10,0.9931833674164964,0.5384615384615384,101.0,6,0.7822,0.0053,0.772,0.792,0.02,0.7822 ± 0.0053,"[0.7720, 0.7920]",0.8694,0.0029,0.8637,0.8747,0.011,0.8694 ± 0.0029,"[0.8637, 0.8747]",0.9081,0.0076,0.8926,0.9241,0.0316,0.9081 ± 0.0076,"[0.8926, 0.9241]",0.9886,0.0027,0.983,0.9932,0.0102,0.9886 ± 0.0027,"[0.9830, 0.9932]",0.7859,0.0176,0.7523,0.8218,0.0694,0.7859 ± 0.0176,"[0.7523, 0.8218]",0.7759,0.004,0.768,0.7836,0.0156,0.7759 ± 0.0040,"[0.7680, 0.7836]",200,200,2000
ICA4+VQC(RX_Angle_Encoding+EfficientSU2_like),ICA4,ica4,5000,EfficientSU2_like,RX_Angle_Encoding,0.4749999999999999,1453,248,285,14,0.9904567143830948,0.5347091932457786,97.3,4,0.837,0.0064,0.825,0.8485,0.0235,0.8370 ± 0.0064,"[0.8250, 0.8485]",0.8981,0.0038,0.8912,0.9051,0.0139,0.8981 ± 0.0038,"[0.8912, 0.9051]",0.7836,0.0159,0.755,0.8136,0.0586,0.7836 ± 0.0159,"[0.7550, 0.8136]",0.9787,0.0036,0.9714,0.9857,0.0143,0.9787 ± 0.0036,"[0.9714, 0.9857]",0.553,0.0211,0.514,0.5947,0.0807,0.5530 ± 0.0211,"[0.5140, 0.5947]",0.8297,0.0055,0.819,0.8402,0.0212,0.8297 ± 0.0055,"[0.8190, 0.8402]",200,200,2000
XGB_PCA4+VQC(Custom_H_RY_RZ+strongly_entangling),XGB_PCA4,xgb_pca4,5000,strongly_entangling,Custom_H_RY_RZ,0.3199999999999999,1461,237,296,6,0.9959100204498976,0.5553470919324578,104.5,4,0.731,0.0012,0.7285,0.733,0.0045,0.7310 ± 0.0012,"[0.7285, 0.7330]",0.8446,0.0008,0.8429,0.8459,0.003,0.8446 ± 0.0008,"[0.8429, 0.8459]",0.9916,0.0025,0.9863,0.9964,0.0101,0.9916 ± 0.0025,"[0.9863, 0.9964]",0.9966,0.0016,0.9932,0.9993,0.0061,0.9966 ± 0.0016,"[0.9932, 0.9993]",1.0,0.0,1.0,1.0,0.0,1.0000 ± 0.0000,"[1.0000, 1.0000]",0.7328,0.0003,0.7322,0.7334,0.0012,0.7328 ± 0.0003,"[0.7322, 0.7334]",200,200,2000
PCA4+VQC(RY_Angle_Encoding+Real_Amplitude_like),PCA4,pca4,5000,Real_Amplitude_like,RY_Angle_Encoding,0.4599999999999999,1461,235,298,6,0.9959100204498976,0.5590994371482176,89.9,4,0.748,0.0031,0.7425,0.7545,0.012,0.7480 ± 0.0031,"[0.7425, 0.7545]",0.8528,0.0017,0.8498,0.8562,0.0064,0.8528 ± 0.0017,"[0.8498, 0.8562]",0.8879,0.0092,0.8706,0.9034,0.0328,0.8879 ± 0.0092,"[0.8706, 0.9034]",0.9954,0.0016,0.9918,0.998,0.0062,0.9954 ± 0.0016,"[0.9918, 0.9980]",0.9329,0.0105,0.9118,0.9512,0.0394,0.9329 ± 0.0105,"[0.9118, 0.9512]",0.746,0.0022,0.7421,0.7505,0.0084,0.7460 ± 0.0022,"[0.7421, 0.7505]",200,200,2000
PCA4+VQC(RX_Angle_Encoding+strongly_entangling),PCA4,pca4,5000,strongly_entangling,RX_Angle_Encoding,0.4749999999999999,1423,273,260,44,0.9700068166325836,0.4878048780487805,82.6,6,0.8347,0.0065,0.8235,0.848,0.0245,0.8347 ± 0.0065,"[0.8235, 0.8480]",0.8955,0.0039,0.8888,0.9038,0.015,0.8955 ± 0.0039,"[0.8888, 0.9038]",0.8258,0.0127,0.8018,0.8505,0.0487,0.8258 ± 0.0127,"[0.8018, 0.8505]",0.9659,0.0045,0.9577,0.9748,0.0171,0.9659 ± 0.0045,"[0.9577, 0.9748]",0.5264,0.0207,0.4859,0.5685,0.0826,0.5264 ± 0.0207,"[0.4859, 0.5685]",0.8348,0.0055,0.8238,0.8456,0.0218,0.8348 ± 0.0055,"[0.8238, 0.8456]",200,200,2000
PCA4+VQC(ZZ_Feature_Map_style+Real_Amplitude_like),PCA4,pca4,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.2799999999999999,1463,232,301,4,0.9972733469665984,0.5647279549718575,130.6,5,0.8261,0.0057,0.815,0.8375,0.0225,0.8261 ± 0.0057,"[0.8150, 0.8375]",0.8937,0.0031,0.8875,0.9001,0.0126,0.8937 ± 0.0031,"[0.8875, 0.9001]",0.8999,0.0065,0.8865,0.9117,0.0251,0.8999 ± 0.0065,"[0.8865, 0.9117]",0.9966,0.0015,0.9939,0.9993,0.0055,0.9966 ± 0.0015,"[0.9939, 0.9993]",0.6431,0.0207,0.6022,0.683,0.0808,0.6431 ± 0.0207,"[0.6022, 0.6830]",0.8101,0.005,0.8004,0.82,0.0195,0.8101 ± 0.0050,"[0.8004, 0.8200]",200,200,2000
PCA4+VQC(IQP_style_encoding+strongly_entangling),PCA4,pca4,5000,strongly_entangling,IQP_style_encoding,0.3899999999999999,1458,235,298,9,0.9938650306748468,0.5590994371482176,123.6,6,0.7339,0.0005,0.7335,0.735,0.0015,0.7339 ± 0.0005,"[0.7335, 0.7350]",0.8465,0.0002,0.8463,0.847,0.0007,0.8465 ± 0.0002,"[0.8463, 0.8470]",0.8174,0.0123,0.7962,0.8436,0.0474,0.8174 ± 0.0123,"[0.7962, 0.8436]",1.0,0.0,1.0,1.0,0.0,1.0000 ± 0.0000,"[1.0000, 1.0000]",0.9984,0.0018,0.9944,1.0,0.0056,0.9984 ± 0.0018,"[0.9944, 1.0000]",0.7338,0.0003,0.7335,0.7346,0.0011,0.7338 ± 0.0003,"[0.7335, 0.7346]",200,200,2000
XGB_PCA4+VQC(IQP_style_encoding+custom_ansatz_1),XGB_PCA4,xgb_pca4,5000,custom_ansatz_1,IQP_style_encoding,0.4599999999999999,1258,434,99,209,0.8575323790047716,0.1857410881801125,134.1,4,0.7317,0.001,0.7295,0.733,0.0035,0.7317 ± 0.0010,"[0.7295, 0.7330]",0.845,0.0007,0.8436,0.8459,0.0023,0.8450 ± 0.0007,"[0.8436, 0.8459]",0.91,0.0065,0.8969,0.9221,0.0252,0.9100 ± 0.0065,"[0.8969, 0.9221]",0.9975,0.0014,0.9945,0.9993,0.0048,0.9975 ± 0.0014,"[0.9945, 0.9993]",1.0,0.0,1.0,1.0,0.0,1.0000 ± 0.0000,"[1.0000, 1.0000]",0.733,0.0003,0.7324,0.7334,0.0009,0.7330 ± 0.0003,"[0.7324, 0.7334]",200,200,2000
PCA4+VQC(RX_Angle_Encoding+Real_Amplitude_like),PCA4,pca4,5000,Real_Amplitude_like,RX_Angle_Encoding,0.4849999999999999,1456,236,297,11,0.992501704158146,0.5572232645403377,89.3,4,0.7685,0.005,0.7595,0.778,0.0186,0.7685 ± 0.0050,"[0.7595, 0.7780]",0.8622,0.0027,0.8568,0.8672,0.0104,0.8622 ± 0.0027,"[0.8568, 0.8672]",0.8609,0.0102,0.8399,0.8774,0.0375,0.8609 ± 0.0102,"[0.8399, 0.8774]",0.9875,0.0029,0.9816,0.9932,0.0116,0.9875 ± 0.0029,"[0.9816, 0.9932]",0.834,0.0171,0.8011,0.8687,0.0676,0.8340 ± 0.0171,"[0.8011, 0.8687]",0.7652,0.0037,0.758,0.7725,0.0145,0.7652 ± 0.0037,"[0.7580, 0.7725]",200,200,2000
PCA4+VQC(ZZ_Feature_Map_style+custom_ansatz_1),PCA4,pca4,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.3,1457,230,303,10,0.9931833674164964,0.5684803001876173,120.2,7,0.7335,0.0,0.7335,0.7335,0.0,0.7335 ± 0.0000,"[0.7335, 0.7335]",0.8463,0.0,0.8463,0.8463,0.0,0.8463 ± 0.0000,"[0.8463, 0.8463]",0.9017,0.007,0.8871,0.9151,0.028,0.9017 ± 0.0070,"[0.8871, 0.9151]",1.0,0.0,1.0,1.0,0.0,1.0000 ± 0.0000,"[1.0000, 1.0000]",1.0,0.0,1.0,1.0,0.0,1.0000 ± 0.0000,"[1.0000, 1.0000]",0.7335,0.0,0.7335,0.7335,0.0,0.7335 ± 0.0000,"[0.7335, 0.7335]",200,200,2000
ICA4+VQC(Amplitude_Embedding+strongly_entangling),ICA4,ica4,5000,strongly_entangling,Amplitude_Embedding,0.5449999999999999,1403,284,249,64,0.956373551465576,0.4671669793621013,72.7,7,0.775,0.0055,0.7645,0.7846,0.0201,0.7750 ± 0.0055,"[0.7645, 0.7846]",0.8653,0.0031,0.8594,0.8705,0.0111,0.8653 ± 0.0031,"[0.8594, 0.8705]",0.8511,0.0092,0.8332,0.8677,0.0345,0.8511 ± 0.0092,"[0.8332, 0.8677]",0.9856,0.0033,0.9789,0.9918,0.013,0.9856 ± 0.0033,"[0.9789, 0.9918]",0.8045,0.018,0.7711,0.8368,0.0658,0.8045 ± 0.0180,"[0.7711, 0.8368]",0.7713,0.004,0.7643,0.7794,0.0151,0.7713 ± 0.0040,"[0.7643, 0.7794]",200,200,2000
PCA4+VQC(IQP_style_encoding+custom_ansatz_1),PCA4,pca4,5000,custom_ansatz_1,IQP_style_encoding,0.4149999999999999,1447,234,299,20,0.9863667348329924,0.5609756097560976,128.0,6,0.7335,0.0,0.7335,0.7335,0.0,0.7335 ± 0.0000,"[0.7335, 0.7335]",0.8463,0.0,0.8463,0.8463,0.0,0.8463 ± 0.0000,"[0.8463, 0.8463]",0.9115,0.006,0.8998,0.9224,0.0226,0.9115 ± 0.0060,"[0.8998, 0.9224]",1.0,0.0,1.0,1.0,0.0,1.0000 ± 0.0000,"[1.0000, 1.0000]",1.0,0.0,1.0,1.0,0.0,1.0000 ± 0.0000,"[1.0000, 1.0000]",0.7335,0.0,0.7335,0.7335,0.0,0.7335 ± 0.0000,"[0.7335, 0.7335]",200,200,2000
PCA4+VQC(IQP_style_encoding+EfficientSU2_like),PCA4,pca4,5000,EfficientSU2_like,IQP_style_encoding,0.3999999999999999,1456,224,309,11,0.992501704158146,0.5797373358348968,138.2,5,0.8345,0.0061,0.8225,0.8455,0.023,0.8345 ± 0.0061,"[0.8225, 0.8455]",0.8978,0.0035,0.8909,0.904,0.0131,0.8978 ± 0.0035,"[0.8909, 0.9040]",0.8764,0.0075,0.862,0.8902,0.0282,0.8764 ± 0.0075,"[0.8620, 0.8902]",0.9915,0.0023,0.987,0.9959,0.0089,0.9915 ± 0.0023,"[0.9870, 0.9959]",0.5978,0.0216,0.5572,0.6379,0.0807,0.5978 ± 0.0216,"[0.5572, 0.6379]",0.8203,0.0054,0.8102,0.8299,0.0197,0.8203 ± 0.0054,"[0.8102, 0.8299]",200,200,2000
PCA4+VQC(Custom_H_RY_RZ+Real_Amplitude_like),PCA4,pca4,5000,Real_Amplitude_like,Custom_H_RY_RZ,0.4449999999999999,1405,275,258,62,0.9577368779822768,0.4840525328330206,104.4,7,0.8438,0.0074,0.8295,0.8575,0.028,0.8438 ± 0.0074,"[0.8295, 0.8575]",0.9006,0.0045,0.8914,0.9094,0.018,0.9006 ± 0.0045,"[0.8914, 0.9094]",0.8004,0.0123,0.7792,0.8243,0.0451,0.8004 ± 0.0123,"[0.7792, 0.8243]",0.965,0.0053,0.9543,0.9755,0.0211,0.9650 ± 0.0053,"[0.9543, 0.9755]",0.4899,0.0229,0.4484,0.5347,0.0864,0.4899 ± 0.0229,"[0.4484, 0.5347]",0.8443,0.0062,0.8323,0.8564,0.024,0.8443 ± 0.0062,"[0.8323, 0.8564]",200,200,2000
PCA4+VQC(RX_Angle_Encoding+custom_ansatz_1),PCA4,pca4,5000,custom_ansatz_1,RX_Angle_Encoding,0.4899999999999999,1454,219,314,13,0.9911383776414452,0.5891181988742964,90.2,6,0.7688,0.0049,0.7595,0.779,0.0196,0.7688 ± 0.0049,"[0.7595, 0.7790]",0.8624,0.0027,0.8575,0.8681,0.0106,0.8624 ± 0.0027,"[0.8575, 0.8681]",0.8671,0.01,0.8465,0.8837,0.0372,0.8671 ± 0.0100,"[0.8465, 0.8837]",0.9878,0.0028,0.9823,0.9932,0.0109,0.9878 ± 0.0028,"[0.9823, 0.9932]",0.8342,0.0168,0.7992,0.8668,0.0675,0.8342 ± 0.0168,"[0.7992, 0.8668]",0.7652,0.0036,0.7583,0.7722,0.0139,0.7652 ± 0.0036,"[0.7583, 0.7722]",200,200,2000
PCA4+VQC(RY_Angle_Encoding+strongly_entangling),PCA4,pca4,5000,strongly_entangling,RY_Angle_Encoding,0.4899999999999999,1387,282,251,80,0.94546693933197,0.4709193245778612,77.4,7,0.8092,0.0075,0.796,0.8235,0.0275,0.8092 ± 0.0075,"[0.7960, 0.8235]",0.8754,0.0049,0.8663,0.8844,0.0181,0.8754 ± 0.0049,"[0.8663, 0.8844]",0.8408,0.0097,0.8225,0.8584,0.0359,0.8408 ± 0.0097,"[0.8225, 0.8584]",0.9136,0.0074,0.8991,0.9264,0.0274,0.9136 ± 0.0074,"[0.8991, 0.9264]",0.478,0.0201,0.4409,0.516,0.0751,0.4780 ± 0.0201,"[0.4409, 0.5160]",0.8403,0.0057,0.8282,0.8512,0.023,0.8403 ± 0.0057,"[0.8282, 0.8512]",200,200,2000
ICA4+VQC(Amplitude_Embedding+Real_Amplitude_like),ICA4,ica4,5000,Real_Amplitude_like,Amplitude_Embedding,0.4949999999999999,1450,217,316,17,0.9884117246080436,0.5928705440900562,85.0,5,0.8328,0.006,0.8215,0.8445,0.023,0.8328 ± 0.0060,"[0.8215, 0.8445]",0.8969,0.0034,0.8903,0.9036,0.0133,0.8969 ± 0.0034,"[0.8903, 0.9036]",0.7735,0.0161,0.7432,0.8046,0.0614,0.7735 ± 0.0161,"[0.7432, 0.8046]",0.9911,0.0022,0.9864,0.9945,0.0082,0.9911 ± 0.0022,"[0.9864, 0.9945]",0.6027,0.021,0.5647,0.6417,0.077,0.6027 ± 0.0210,"[0.5647, 0.6417]",0.8191,0.0052,0.8097,0.8285,0.0188,0.8191 ± 0.0052,"[0.8097, 0.8285]",200,200,2000
ICA4+VQC(Custom_H_RY_RZ+strongly_entangling),ICA4,ica4,5000,strongly_entangling,Custom_H_RY_RZ,0.5049999999999999,1323,335,198,144,0.901840490797546,0.3714821763602251,99.4,4,0.8194,0.0082,0.8035,0.8345,0.031,0.8194 ± 0.0082,"[0.8035, 0.8345]",0.8791,0.0055,0.8688,0.8889,0.0201,0.8791 ± 0.0055,"[0.8688, 0.8889]",0.8537,0.0087,0.8362,0.8685,0.0323,0.8537 ± 0.0087,"[0.8362, 0.8685]",0.8948,0.0075,0.8807,0.9094,0.0287,0.8948 ± 0.0075,"[0.8807, 0.9094]",0.3882,0.0215,0.347,0.4278,0.0808,0.3882 ± 0.0215,"[0.3470, 0.4278]",0.8639,0.0067,0.8517,0.8767,0.0251,0.8639 ± 0.0067,"[0.8517, 0.8767]",200,200,2000
ICA4+VQC(Amplitude_Embedding+custom_ansatz_1),ICA4,ica4,5000,custom_ansatz_1,Amplitude_Embedding,0.4999999999999999,1370,271,262,97,0.9338786639400136,0.4915572232645403,86.1,4,0.8157,0.007,0.8015,0.828,0.0265,0.8157 ± 0.0070,"[0.8015, 0.8280]",0.8826,0.0044,0.8733,0.8905,0.0171,0.8826 ± 0.0044,"[0.8733, 0.8905]",0.7354,0.0162,0.7054,0.766,0.0606,0.7354 ± 0.0162,"[0.7054, 0.7660]",0.9443,0.0058,0.9325,0.9564,0.0239,0.9443 ± 0.0058,"[0.9325, 0.9564]",0.5385,0.0213,0.4971,0.5742,0.077,0.5385 ± 0.0213,"[0.4971, 0.5742]",0.8284,0.0057,0.8182,0.8389,0.0208,0.8284 ± 0.0057,"[0.8182, 0.8389]",200,200,2000
ICA4+VQC(Amplitude_Embedding+EfficientSU2_like),ICA4,ica4,5000,EfficientSU2_like,Amplitude_Embedding,0.4699999999999999,1374,253,280,93,0.9366053169734152,0.525328330206379,96.7,6,0.8062,0.0073,0.793,0.821,0.028,0.8062 ± 0.0073,"[0.7930, 0.8210]",0.8759,0.0046,0.8673,0.885,0.0177,0.8759 ± 0.0046,"[0.8673, 0.8850]",0.7128,0.0163,0.6816,0.7439,0.0624,0.7128 ± 0.0163,"[0.6816, 0.7439]",0.9328,0.0061,0.9209,0.9441,0.0232,0.9328 ± 0.0061,"[0.9209, 0.9441]",0.5425,0.0215,0.5028,0.5835,0.0807,0.5425 ± 0.0215,"[0.5028, 0.5835]",0.8256,0.0058,0.8148,0.8371,0.0223,0.8256 ± 0.0058,"[0.8148, 0.8371]",200,200,2000
ICA4+VQC(RX_Angle_Encoding+custom_ansatz_1),ICA4,ica4,5000,custom_ansatz_1,RX_Angle_Encoding,0.5099999999999999,1396,221,312,71,0.9516019086571234,0.5853658536585366,93.2,5,0.7965,0.007,0.782,0.8105,0.0285,0.7965 ± 0.0070,"[0.7820, 0.8105]",0.8725,0.0042,0.8646,0.8809,0.0163,0.8725 ± 0.0042,"[0.8646, 0.8809]",0.707,0.0162,0.6747,0.7389,0.0642,0.7070 ± 0.0162,"[0.6747, 0.7389]",0.9495,0.0056,0.938,0.9605,0.0225,0.9495 ± 0.0056,"[0.9380, 0.9605]",0.6248,0.0216,0.5835,0.6679,0.0844,0.6248 ± 0.0216,"[0.5835, 0.6679]",0.8071,0.0054,0.7963,0.8182,0.0219,0.8071 ± 0.0054,"[0.7963, 0.8182]",200,200,2000
ICA4+VQC(RY_Angle_Encoding+Real_Amplitude_like),ICA4,ica4,5000,Real_Amplitude_like,RY_Angle_Encoding,0.5099999999999999,1353,263,270,114,0.9222903885480572,0.5065666041275797,89.0,6,0.7951,0.0076,0.781,0.809,0.0281,0.7951 ± 0.0076,"[0.7810, 0.8090]",0.8676,0.005,0.8586,0.8768,0.0182,0.8676 ± 0.0050,"[0.8586, 0.8768]",0.6901,0.0167,0.6565,0.725,0.0686,0.6901 ± 0.0167,"[0.6565, 0.7250]",0.9151,0.0072,0.9005,0.9298,0.0293,0.9151 ± 0.0072,"[0.9005, 0.9298]",0.5351,0.02,0.499,0.5761,0.0771,0.5351 ± 0.0200,"[0.4990, 0.5761]",0.8248,0.0056,0.8128,0.8355,0.0227,0.8248 ± 0.0056,"[0.8128, 0.8355]",200,200,2000
XGB_PCA4+VQC(Custom_H_RY_RZ+EfficientSU2_like),XGB_PCA4,xgb_pca4,5000,EfficientSU2_like,Custom_H_RY_RZ,0.4849999999999999,1164,451,82,303,0.7934560327198364,0.1538461538461538,123.0,6,0.7619,0.009,0.743,0.7785,0.0355,0.7619 ± 0.0090,"[0.7430, 0.7785]",0.8353,0.0065,0.8223,0.8468,0.0245,0.8353 ± 0.0065,"[0.8223, 0.8468]",0.832,0.0095,0.813,0.8498,0.0368,0.8320 ± 0.0095,"[0.8130, 0.8498]",0.8231,0.0096,0.803,0.8412,0.0382,0.8231 ± 0.0096,"[0.8030, 0.8412]",0.4066,0.0214,0.3715,0.4522,0.0807,0.4066 ± 0.0214,"[0.3715, 0.4522]",0.8479,0.0069,0.8336,0.8598,0.0262,0.8479 ± 0.0069,"[0.8336, 0.8598]",200,200,2000
XGB_PCA4+VQC(RX_Angle_Encoding+custom_ansatz_1),XGB_PCA4,xgb_pca4,5000,custom_ansatz_1,RX_Angle_Encoding,0.5199999999999999,1349,241,292,118,0.9195637355146558,0.5478424015009381,93.9,5,0.8089,0.0071,0.796,0.823,0.027,0.8089 ± 0.0071,"[0.7960, 0.8230]",0.8779,0.0045,0.8699,0.8866,0.0167,0.8779 ± 0.0045,"[0.8699, 0.8866]",0.9058,0.0063,0.8926,0.918,0.0254,0.9058 ± 0.0063,"[0.8926, 0.9180]",0.937,0.0065,0.9236,0.9482,0.0246,0.9370 ± 0.0065,"[0.9236, 0.9482]",0.5439,0.0207,0.5028,0.5798,0.077,0.5439 ± 0.0207,"[0.5028, 0.5798]",0.8259,0.0055,0.8165,0.837,0.0205,0.8259 ± 0.0055,"[0.8165, 0.8370]",200,200,2000
ICA4+VQC(RY_Angle_Encoding+custom_ansatz_1),ICA4,ica4,5000,custom_ansatz_1,RY_Angle_Encoding,0.5199999999999999,1354,217,316,113,0.9229720518064076,0.5928705440900562,93.1,5,0.7559,0.0035,0.749,0.7625,0.0135,0.7559 ± 0.0035,"[0.7490, 0.7625]",0.8569,0.0019,0.8531,0.8605,0.0074,0.8569 ± 0.0019,"[0.8531, 0.8605]",0.6232,0.0165,0.5921,0.659,0.0669,0.6232 ± 0.0165,"[0.5921, 0.6590]",0.9966,0.0016,0.9932,0.9993,0.0061,0.9966 ± 0.0016,"[0.9932, 0.9993]",0.9065,0.0123,0.878,0.9306,0.0526,0.9065 ± 0.0123,"[0.8780, 0.9306]",0.7516,0.0026,0.7464,0.7573,0.0108,0.7516 ± 0.0026,"[0.7464, 0.7573]",200,200,2000
XGB_PCA4+VQC(Amplitude_Embedding+Real_Amplitude_like),XGB_PCA4,xgb_pca4,5000,Real_Amplitude_like,Amplitude_Embedding,0.5049999999999999,1439,128,405,28,0.9809134287661896,0.7598499061913696,87.4,5,0.7758,0.0057,0.763,0.786,0.023,0.7758 ± 0.0057,"[0.7630, 0.7860]",0.8651,0.0032,0.858,0.8713,0.0133,0.8651 ± 0.0032,"[0.8580, 0.8713]",0.8139,0.0115,0.7936,0.8357,0.042,0.8139 ± 0.0115,"[0.7936, 0.8357]",0.9798,0.0036,0.9714,0.9864,0.015,0.9798 ± 0.0036,"[0.9714, 0.9864]",0.7858,0.0177,0.7541,0.8219,0.0677,0.7858 ± 0.0177,"[0.7541, 0.8219]",0.7744,0.0041,0.7653,0.7818,0.0165,0.7744 ± 0.0041,"[0.7653, 0.7818]",200,200,2000
XGB_PCA4+VQC(RX_Angle_Encoding+strongly_entangling),XGB_PCA4,xgb_pca4,5000,strongly_entangling,RX_Angle_Encoding,0.4749999999999999,1272,270,263,195,0.8670756646216768,0.4934333958724202,83.9,5,0.7765,0.0086,0.76,0.7935,0.0335,0.7765 ± 0.0086,"[0.7600, 0.7935]",0.8517,0.0058,0.8412,0.8636,0.0223,0.8517 ± 0.0058,"[0.8412, 0.8636]",0.7463,0.0158,0.716,0.7754,0.0595,0.7463 ± 0.0158,"[0.7160, 0.7754]",0.8752,0.0083,0.8596,0.8916,0.032,0.8752 ± 0.0083,"[0.8596, 0.8916]",0.4952,0.0218,0.4559,0.5385,0.0826,0.4952 ± 0.0218,"[0.4559, 0.5385]",0.8295,0.0064,0.8166,0.8404,0.0238,0.8295 ± 0.0064,"[0.8166, 0.8404]",200,200,2000
