DRM+VQC,Perf. Rank (of 112),f1_pm,Rank_F1,deploy_coverage,Rank_C,sigma_epi_mean,Rank_S,JSC_score,JSC_Rank
PCA4+VQC(RY_Angle_Encoding+EfficientSU2_like),57,0.8694 ± 0.0029,57,0.001,56,0.0214646499451145,2,115,68
ICA4+VQC(RY_Angle_Encoding+Real_Amplitude_like),78,0.8676 ± 0.0050,58,0.0005,57,0.0136764254935119,2,117,69
XGB_PCA4+VQC(Custom_H_RY_RZ+EfficientSU2_like),79,0.8353 ± 0.0065,78,0.4455,37,0.0176855031938567,2,117,70
PCA4+VQC(RX_Angle_Encoding+custom_ansatz_1),71,0.8624 ± 0.0027,62,0.002,55,0.025036488099857,2,119,71
PCA4+VQC(RX_Angle_Encoding+Real_Amplitude_like),65,0.8622 ± 0.0027,63,0.002,55,0.0161903847007769,2,120,72
XGB_PCA4+VQC(RX_Angle_Encoding+strongly_entangling),83,0.8517 ± 0.0058,69,0.0525,51,0.0047700576178564,1,121,73
ICA4+VQC(RY_Angle_Encoding+custom_ansatz_1),81,0.8569 ± 0.0019,66,0.001,56,0.0098312030726394,1,123,74
PCA4+VQC(RY_Angle_Encoding+Real_Amplitude_like),60,0.8528 ± 0.0017,68,0.003,53,0.0397849256358624,3,124,75
ICA4+VQC(ZZ_Feature_Map_style+strongly_entangling),46,0.8463 ± 0.0000,71,0.003,53,0.0148637101898984,2,126,76
XGB_PCA4+VQC(IQP_style_encoding+strongly_entangling),42,0.8463 ± 0.0000,71,0.0025,54,0.0124081367176175,2,127,77
PCA4+VQC(ZZ_Feature_Map_style+strongly_entangling),45,0.8463 ± 0.0000,71,0.0005,57,0.0102088517201629,2,130,78
PCA4+VQC(IQP_style_encoding+strongly_entangling),63,0.8465 ± 0.0002,70,0.0,58,0.0178255974230162,2,130,79
PCA4+VQC(ZZ_Feature_Map_style+EfficientSU2_like),56,0.8462 ± 0.0001,72,0.0,58,0.0265936443581683,2,132,80
XGB_PCA4+VQC(Custom_H_RY_RZ+custom_ansatz_1),38,0.8453 ± 0.0006,75,0.0,58,0.0173673540573965,2,135,81
PCA4+VQC(Custom_H_RY_RZ+EfficientSU2_like),51,0.8460 ± 0.0003,74,0.0,58,0.0304401845340611,3,135,82
XGB_PCA4+VQC(IQP_style_encoding+custom_ansatz_1),64,0.8450 ± 0.0007,76,0.0,58,0.0067514288346138,1,135,83
XGB_PCA4+VQC(Custom_H_RY_RZ+strongly_entangling),59,0.8446 ± 0.0008,77,0.0,58,0.021079090800054,2,137,84
