feature_set,train_size,ansatz,encoding,sigma_noise,n_params,elapsed_s,gpu_id,sigma_epi_mean,sigma_epi_std,entropy_mean,entropy_std,vr_mean,ece,deploy_coverage
xgb_pca4,5000,efficient_su2_like,iqp_embedding,0.0736885360753488,24,21.5,3,0.04825489463435957,0.003220733401527761,0.9957493923060156,0.004248163874494516,0.005199999999999999,0.27269619051267696,0.3215
pca4,5000,strongly_entangling,custom_h_ry_rz,0.0842866929176596,24,15.3,1,0.02141044754587041,0.003188911313195068,0.9883038303107358,0.024820995016110757,0.022600000000000002,0.3506873845135172,0.132
pca4,5000,efficient_su2_like,custom_h_ry_rz,0.0970585941634526,24,16.8,0,0.030440184534061162,0.0022184896889264763,0.9898485677572065,0.008827667782155954,0.010716666666666663,0.2845759856631358,0.0
ica4,5000,strongly_entangling,iqp_embedding,0.07201734638241591,24,19.0,0,0.02526345513144518,0.00417248359968674,0.9497408511089102,0.05137906928044424,0.014433333333333331,0.2479252780190358,0.6755
ica4,5000,efficient_su2_like,ry_embedding,0.0560633579119423,24,14.7,0,0.030928547727509824,0.0033636508571878044,0.9941483657759371,0.020862747799643165,0.10883333333333331,0.33494088090012475,0.215
pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.08418802655080933,16,17.5,1,0.022091925976599577,0.004536742603088466,0.9858376772278996,0.008615460419072771,0.02405,0.30197134707023715,0.5725
pca4,5000,efficient_su2_like,amplitude_embedding,0.037429500753737514,24,13.8,0,0.015123556473511395,0.0003702185527544263,0.9971834981560647,0.008158218208761716,0.35035000000000005,0.2855667232252658,0.133
pca4,5000,efficient_su2_like,zz_feature_map,0.07996563558576136,24,20.4,2,0.026593644358168363,0.0024357829286070372,0.9452875359740187,0.03811902486660367,0.02453333333333333,0.24647895935972525,0.0
pca4,5000,efficient_su2_like,ry_embedding,0.059494635626037684,24,15.3,2,0.021464649945114593,0.0012382288789428313,0.9984429995600563,0.010940583920373434,0.1300833333333333,0.3461907156695923,0.001
ica4,5000,efficient_su2_like,rx_embedding,0.02888115884389354,24,14.2,0,0.006201239084327902,0.0001832577560692258,0.9975550890028921,0.010163302092210873,0.036416666666666674,0.3343349338911474,0.065
xgb_pca4,5000,strongly_entangling,custom_h_ry_rz,0.07689079894346763,24,14.5,0,0.02107909080005404,0.0015890902088872467,0.9859745733225372,0.011763894070821453,0.00036666666666666656,0.3405557544233898,0.0
pca4,5000,real_amplitudes,ry_embedding,0.06940705390300973,12,13.9,0,0.039784925635862445,0.001627300089405136,0.997692879833099,0.007203054908663948,0.08838333333333331,0.31642957936674354,0.003
pca4,5000,strongly_entangling,rx_embedding,0.026382984762836976,24,12.2,2,0.0033001505196147054,0.0007211616994732381,0.9985061800954805,0.0070795301097678716,0.05249999999999999,0.3496116877456506,0.128
pca4,5000,real_amplitudes,zz_feature_map,0.09288799784699993,12,19.9,1,0.03992608047739184,0.009930230543353905,0.8645126177567963,0.0929639328790751,0.0259,0.19566979341829824,0.625
pca4,5000,strongly_entangling,iqp_embedding,0.0628781049908288,24,18.6,2,0.017825597423016214,0.0016441723823572832,0.9980912160121446,0.003527104516132788,0.003333333333333333,0.25540535443673534,0.0
xgb_pca4,5000,custom_ansatz_1,iqp_embedding,0.047838122329989796,16,18.6,0,0.006751428834613898,0.0022654634269884903,0.9993183708160028,0.0008998597841334318,0.03008333333333333,0.2396554836735129,0.0
pca4,5000,real_amplitudes,rx_embedding,0.04459727442219374,12,13.0,0,0.016190384700776946,0.000597137444309719,0.9987672879808913,0.004745231173294598,0.08731666666666665,0.3342735217104356,0.002
pca4,5000,custom_ansatz_1,zz_feature_map,0.10285488293954982,16,20.0,3,0.03711097349650442,0.004998656681361475,0.9891857682608739,0.007457269304135424,0.0,0.3051767612919212,0.5715
ica4,5000,strongly_entangling,amplitude_embedding,0.05421360727281699,24,11.4,3,0.012366198709496928,0.0004922649733564002,0.9882700664379552,0.012678093634509906,0.10601666666666665,0.20731659617125994,0.1905
pca4,5000,custom_ansatz_1,iqp_embedding,0.06577416010733463,16,20.3,2,0.017526241643445337,0.003271646818510214,0.9980005383381361,0.0009483772240411389,0.0,0.23008498855282863,0.5905
pca4,5000,efficient_su2_like,iqp_embedding,0.0719864790803849,24,21.3,1,0.03640181201105016,0.004296153838107152,0.9448848209502123,0.04980045191482387,0.018566666666666662,0.2309370689446728,0.616
pca4,5000,real_amplitudes,custom_h_ry_rz,0.0684633685225643,12,16.7,3,0.02289466506698068,0.0041748550842955,0.9427034015895455,0.040989613522018825,0.007083333333333332,0.2119482535613081,0.062
pca4,5000,custom_ansatz_1,rx_embedding,0.04773762385228885,16,14.2,2,0.025036488099857025,0.0013381100788258243,0.9984193172653826,0.004180888025652695,0.19088333333333332,0.28926393547703827,0.002
pca4,5000,strongly_entangling,ry_embedding,0.038287553870057826,24,12.3,3,0.01358977269762237,0.00047661545904308783,0.9991620015592511,0.009815038951150922,0.21953333333333333,0.3124953959052761,0.121
ica4,5000,real_amplitudes,amplitude_embedding,0.026792572265625605,12,12.5,1,0.006317157814572576,0.0001705880168990114,0.9986695347024229,0.008194465767909243,0.07691666666666666,0.3190593898373346,0.0005
ica4,5000,strongly_entangling,custom_h_ry_rz,0.05711044072059554,24,14.4,0,0.03276920495568723,0.0034536372476610994,0.9875628740002556,0.0248325339688417,0.16409999999999997,0.27879325586607057,0.0
ica4,5000,custom_ansatz_1,amplitude_embedding,0.025370408298208164,16,12.6,0,0.005364900832111763,0.00012491951470923473,0.9987697546928532,0.007208502922967685,0.10763333333333333,0.2960556355312467,0.0005
ica4,5000,efficient_su2_like,amplitude_embedding,0.03761890008082525,24,14.5,2,0.013758179564888074,0.00038141609149377434,0.9978604466387303,0.0041443745878629685,0.2528166666666667,0.31667166505704325,0.0
ica4,5000,custom_ansatz_1,rx_embedding,0.04101919051759712,16,14.0,1,0.011679125456972774,0.0006080530419783159,0.9965613687849012,0.007009005080634162,0.14061666666666664,0.29045931596755986,0.001
ica4,5000,real_amplitudes,ry_embedding,0.04441214412065823,12,13.3,2,0.013676425493511907,0.0008634394657593907,0.997966723906893,0.010650111946676512,0.27755,0.2893612749258677,0.0005
xgb_pca4,5000,efficient_su2_like,custom_h_ry_rz,0.052652483483461195,24,16.9,2,0.017685503193856738,0.001846899898564373,0.9952914619766977,0.007510360776397078,0.10596666666666664,0.2653885787511866,0.4455
xgb_pca4,5000,custom_ansatz_1,rx_embedding,0.04662604477622085,16,13.7,1,0.012434868853859112,0.0005914590750178431,0.9968408023181929,0.01168998655368367,0.22089999999999999,0.27741708492388323,0.645
ica4,5000,custom_ansatz_1,ry_embedding,0.04399088448491251,16,14.2,1,0.009831203072639415,0.0006825015954153554,0.9893760256775422,0.013482016994949596,0.01433333333333333,0.2442344802488884,0.001
xgb_pca4,5000,real_amplitudes,amplitude_embedding,0.041014556460180145,12,12.6,1,0.01570462098366671,0.00042957702743672135,0.9986522257742659,0.014560902475900845,0.2522,0.2544809473807613,0.125
xgb_pca4,5000,strongly_entangling,rx_embedding,0.029374593222931233,24,12.3,1,0.004770057617856478,0.0002799976346912684,0.9986955862194125,0.007363858720563843,0.0564,0.2697522476439674,0.0525
xgb_pca4,5000,strongly_entangling,ry_embedding,0.029404054004606366,24,12.5,1,0.006233291204045619,0.00046922237686363577,0.9595170380589736,0.013031665689567694,0.0,0.38374628522644433,0.0035
xgb_pca4,5000,custom_ansatz_1,ry_embedding,0.05916548371866819,16,14.1,1,0.020522531671245646,0.0008568505983093175,0.9920933375630157,0.01596857609293391,0.017383333333333334,0.21638559081777925,0.213
