feature_set,train_size,ansatz,encoding,threshold,TP,TN,FP,FN,TPR_point,FPR_point,elapsed_s,gpu_id,accuracy_mean_B,accuracy_std_B,accuracy_ci_low_B,accuracy_ci_high_B,accuracy_ci_width_B,accuracy_pm_B,accuracy_ci_str_B,f1_mean_B,f1_std_B,f1_ci_low_B,f1_ci_high_B,f1_ci_width_B,f1_pm_B,f1_ci_str_B,auc_mean_B,auc_std_B,auc_ci_low_B,auc_ci_high_B,auc_ci_width_B,auc_pm_B,auc_ci_str_B,tpr_mean_B,tpr_std_B,tpr_ci_low_B,tpr_ci_high_B,tpr_ci_width_B,tpr_pm_B,tpr_ci_str_B,fpr_mean_B,fpr_std_B,fpr_ci_low_B,fpr_ci_high_B,fpr_ci_width_B,fpr_pm_B,fpr_ci_str_B,prec_mean_B,prec_std_B,prec_ci_low_B,prec_ci_high_B,prec_ci_width_B,prec_pm_B,prec_ci_str_B,n_subsets,n_valid,subset_size
pca4,5000,efficient_su2_like,iqp_embedding,0.42999999999999994,1421,427,106,46,0.9686434901158828,0.19887429643527205,141.2,6,0.9224,0.0052,0.9130,0.9325,0.0196,0.9224 ± 0.0052,"[0.9130, 0.9325]",0.9481,0.0034,0.9419,0.9550,0.0131,0.9481 ± 0.0034,"[0.9419, 0.9550]",0.9660,0.0043,0.9581,0.9736,0.0155,0.9660 ± 0.0043,"[0.9581, 0.9736]",0.9668,0.0043,0.9577,0.9741,0.0164,0.9668 ± 0.0043,"[0.9577, 0.9741]",0.1999,0.0161,0.1707,0.2346,0.0639,0.1999 ± 0.0161,"[0.1707, 0.2346]",0.9302,0.0052,0.9193,0.9396,0.0203,0.9302 ± 0.0052,"[0.9193, 0.9396]",200,200,2000
pca4,5000,real_amplitudes,iqp_embedding,0.42499999999999993,1441,406,127,26,0.9822767552828903,0.23827392120075047,128.2,4,0.9233,0.0053,0.9135,0.9345,0.0210,0.9233 ± 0.0053,"[0.9135, 0.9345]",0.9496,0.0034,0.9436,0.9567,0.0131,0.9496 ± 0.0034,"[0.9436, 0.9567]",0.9580,0.0047,0.9492,0.9664,0.0172,0.9580 ± 0.0047,"[0.9492, 0.9664]",0.9847,0.0029,0.9782,0.9898,0.0116,0.9847 ± 0.0029,"[0.9782, 0.9898]",0.2458,0.0185,0.2083,0.2777,0.0694,0.2458 ± 0.0185,"[0.2083, 0.2777]",0.9169,0.0058,0.9071,0.9288,0.0217,0.9169 ± 0.0058,"[0.9071, 0.9288]",200,200,2000
pca4,5000,strongly_entangling,rx_embedding,0.49999999999999994,1408,439,94,59,0.9597818677573279,0.17636022514071295,83.4,6,0.7330,0.0040,0.7255,0.7405,0.0151,0.7330 ± 0.0040,"[0.7255, 0.7405]",0.8427,0.0024,0.8381,0.8473,0.0092,0.8427 ± 0.0024,"[0.8381, 0.8473]",0.9529,0.0053,0.9426,0.9635,0.0209,0.9529 ± 0.0053,"[0.9426, 0.9635]",0.9747,0.0038,0.9673,0.9823,0.0150,0.9747 ± 0.0038,"[0.9673, 0.9823]",0.9321,0.0103,0.9118,0.9494,0.0376,0.9321 ± 0.0103,"[0.9118, 0.9494]",0.7422,0.0023,0.7380,0.7464,0.0084,0.7422 ± 0.0023,"[0.7380, 0.7464]",200,200,2000
xgb_pca4,5000,efficient_su2_like,zz_feature_map,0.37499999999999994,1452,391,142,15,0.9897750511247444,0.26641651031894936,133.1,5,0.9061,0.0058,0.8955,0.9160,0.0205,0.9061 ± 0.0058,"[0.8955, 0.9160]",0.9391,0.0036,0.9327,0.9454,0.0127,0.9391 ± 0.0036,"[0.9327, 0.9454]",0.9620,0.0042,0.9539,0.9696,0.0157,0.9620 ± 0.0042,"[0.9539, 0.9696]",0.9870,0.0028,0.9816,0.9918,0.0102,0.9870 ± 0.0028,"[0.9816, 0.9918]",0.3164,0.0201,0.2795,0.3528,0.0733,0.3164 ± 0.0201,"[0.2795, 0.3528]",0.8957,0.0059,0.8851,0.9065,0.0214,0.8957 ± 0.0059,"[0.8851, 0.9065]",200,200,2000
ica4,5000,custom_ansatz_1,zz_feature_map,0.3999999999999999,1417,423,110,50,0.9659168370824812,0.20637898686679174,133.4,5,0.9186,0.0058,0.9070,0.9295,0.0225,0.9186 ± 0.0058,"[0.9070, 0.9295]",0.9455,0.0039,0.9381,0.9529,0.0148,0.9455 ± 0.0039,"[0.9381, 0.9529]",0.9478,0.0062,0.9353,0.9592,0.0239,0.9478 ± 0.0062,"[0.9353, 0.9592]",0.9633,0.0050,0.9536,0.9714,0.0177,0.9633 ± 0.0050,"[0.9536, 0.9714]",0.2043,0.0172,0.1670,0.2402,0.0732,0.2043 ± 0.0172,"[0.1670, 0.2402]",0.9285,0.0056,0.9168,0.9404,0.0236,0.9285 ± 0.0056,"[0.9168, 0.9404]",200,200,2000
ica4,5000,strongly_entangling,zz_feature_map,0.4549999999999999,1378,460,73,89,0.9393319700068167,0.13696060037523453,123.5,6,0.9081,0.0061,0.8945,0.9195,0.0250,0.9081 ± 0.0061,"[0.8945, 0.9195]",0.9376,0.0041,0.9286,0.9455,0.0169,0.9376 ± 0.0041,"[0.9286, 0.9455]",0.9478,0.0056,0.9373,0.9577,0.0204,0.9478 ± 0.0056,"[0.9373, 0.9577]",0.9417,0.0056,0.9298,0.9516,0.0218,0.9417 ± 0.0056,"[0.9298, 0.9516]",0.1844,0.0166,0.1595,0.2196,0.0601,0.1844 ± 0.0166,"[0.1595, 0.2196]",0.9336,0.0056,0.9215,0.9419,0.0204,0.9336 ± 0.0056,"[0.9215, 0.9419]",200,200,2000
autoencoder,5000,real_amplitudes,iqp_embedding,0.5399999999999999,1359,476,57,108,0.9263803680981595,0.10694183864915573,128.4,7,0.9231,0.0058,0.9115,0.9325,0.0210,0.9231 ± 0.0058,"[0.9115, 0.9325]",0.9466,0.0041,0.9385,0.9531,0.0146,0.9466 ± 0.0041,"[0.9385, 0.9531]",0.9679,0.0041,0.9594,0.9751,0.0157,0.9679 ± 0.0041,"[0.9594, 0.9751]",0.9293,0.0064,0.9161,0.9400,0.0239,0.9293 ± 0.0064,"[0.9161, 0.9400]",0.0942,0.0131,0.0713,0.1220,0.0508,0.0942 ± 0.0131,"[0.0713, 0.1220]",0.9645,0.0048,0.9550,0.9728,0.0178,0.9645 ± 0.0048,"[0.9550, 0.9728]",200,200,2000
ica4,5000,custom_ansatz_1,iqp_embedding,0.41999999999999993,1364,470,63,103,0.9297886843899114,0.11819887429643527,135.7,4,0.8929,0.0060,0.8815,0.9045,0.0230,0.8929 ± 0.0060,"[0.8815, 0.9045]",0.9312,0.0037,0.9241,0.9381,0.0140,0.9312 ± 0.0037,"[0.9241, 0.9381]",0.9683,0.0052,0.9584,0.9787,0.0204,0.9683 ± 0.0052,"[0.9584, 0.9787]",0.9871,0.0029,0.9816,0.9932,0.0116,0.9871 ± 0.0029,"[0.9816, 0.9932]",0.3663,0.0201,0.3283,0.4015,0.0732,0.3663 ± 0.0201,"[0.3283, 0.4015]",0.8812,0.0058,0.8712,0.8920,0.0208,0.8812 ± 0.0058,"[0.8712, 0.8920]",200,200,2000
xgb_pca4,5000,real_amplitudes,ry_embedding,0.4549999999999999,1333,497,36,134,0.9086571233810498,0.0675422138836773,91.1,4,0.9212,0.0055,0.9095,0.9330,0.0235,0.9212 ± 0.0055,"[0.9095, 0.9330]",0.9448,0.0039,0.9364,0.9530,0.0166,0.9448 ± 0.0039,"[0.9364, 0.9530]",0.9548,0.0053,0.9441,0.9650,0.0209,0.9548 ± 0.0053,"[0.9441, 0.9650]",0.9199,0.0062,0.9086,0.9325,0.0239,0.9199 ± 0.0062,"[0.9086, 0.9325]",0.0753,0.0119,0.0544,0.0994,0.0451,0.0753 ± 0.0119,"[0.0544, 0.0994]",0.9711,0.0044,0.9624,0.9792,0.0168,0.9711 ± 0.0044,"[0.9624, 0.9792]",200,200,2000
ica4,5000,real_amplitudes,zz_feature_map,0.4599999999999999,1382,446,87,85,0.9420586230402181,0.16322701688555347,127.8,4,0.9126,0.0058,0.9000,0.9240,0.0240,0.9126 ± 0.0058,"[0.9000, 0.9240]",0.9402,0.0039,0.9317,0.9481,0.0164,0.9402 ± 0.0039,"[0.9317, 0.9481]",0.9446,0.0061,0.9312,0.9562,0.0250,0.9446 ± 0.0061,"[0.9312, 0.9562]",0.9378,0.0057,0.9270,0.9482,0.0212,0.9378 ± 0.0057,"[0.9270, 0.9482]",0.1569,0.0149,0.1313,0.1876,0.0563,0.1569 ± 0.0149,"[0.1313, 0.1876]",0.9427,0.0051,0.9326,0.9516,0.0190,0.9427 ± 0.0051,"[0.9326, 0.9516]",200,200,2000
