feature_set,train_size,ansatz,encoding,sigma_noise,n_params,elapsed_s,gpu_id,sigma_epi_mean,sigma_epi_std,entropy_mean,entropy_std,vr_mean,ece,deploy_coverage
pca4,5000,real_amplitudes,amplitude_embedding,0.06126015079987291,12,12.7,3,0.03689859470265685,0.005845879611656564,0.9844305519912921,0.019676031702669374,0.19636666666666666,0.33300236514111364,0.211
pca4,5000,strongly_entangling,amplitude_embedding,0.08309812654695739,24,12.1,1,0.07000934170392438,0.016195444178656385,0.8875548186875414,0.13886075245469995,0.12586666666666665,0.21169790392300739,0.3505
ica4,5000,strongly_entangling,ry_embedding,0.07799565333038229,24,12.5,2,0.032629178787218036,0.009330836907074862,0.9162379832976951,0.0912972288518347,0.03816666666666667,0.2747612917995701,0.1145
xgb_pca4,5000,custom_ansatz_1,ry_embedding,0.07011312241553509,16,14.3,2,0.04680420842008737,0.00894273243866787,0.9475755678105778,0.06834815665284127,0.11456666666666666,0.2711293734930456,0.101
ica4,5000,strongly_entangling,rx_embedding,0.061588474849360565,24,12.5,1,0.01803247162213699,0.007673488993762893,0.9282873053883841,0.07354003202685304,0.022,0.2800273519221693,0.12
ica4,5000,efficient_su2_like,zz_feature_map,0.07658102178124718,24,22.2,2,0.026663291991695624,0.005673531938568435,0.9288992821924864,0.07851048089296228,0.02818333333333333,0.26472374589070674,0.4525
autoencoder,5000,strongly_entangling,custom_h_ry_rz,0.06258691481813854,24,15.8,1,0.02511437581124842,0.006908450770393214,0.9945778714035882,0.010065291213163024,0.15641666666666665,0.32993086919238174,0.003
autoencoder,5000,strongly_entangling,ry_embedding,0.07756165356452982,24,13.4,3,0.016900692360204226,0.002627637842227616,0.9953383597594168,0.006207588653493181,0.14931666666666665,0.31872346359789366,0.685
pca4,5000,strongly_entangling,ry_embedding,0.06464003808924251,24,12.8,3,0.014875139073955537,0.0028986994997841136,0.9938059101883983,0.0071286452841002835,0.046566666666666666,0.2042650380300978,0.7265
autoencoder,5000,real_amplitudes,amplitude_embedding,0.07926178664887769,12,12.8,2,0.030291562461745553,0.0021975507021450755,0.994321426676347,0.00533673385798035,0.22496666666666665,0.3198738232021531,0.7325
xgb_pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.049366157142938794,16,17.5,0,0.012634762374873916,0.001792403410244918,0.9942033638905838,0.014325022551760684,0.07015,0.34885425679186977,0.0
autoencoder,5000,custom_ansatz_1,amplitude_embedding,0.08816227236703515,16,13.1,0,0.0231916641365148,0.00366348596194712,0.9909183969150553,0.0066335902655274195,0.16573333333333332,0.31153748110532764,0.6905
xgb_pca4,5000,efficient_su2_like,ry_embedding,0.08937197016946603,24,14.9,1,0.056874425148793366,0.005673852371523475,0.9673086688651253,0.04644567456152194,0.16183333333333333,0.277596394957602,0.146
autoencoder,5000,real_amplitudes,custom_h_ry_rz,0.059813518961428,12,17.4,2,0.01585050845071728,0.0029378120878368608,0.9868775997149212,0.012438625927885605,0.06459999999999999,0.2897838200350602,0.5405
autoencoder,5000,custom_ansatz_1,custom_h_ry_rz,0.055215757052304665,16,18.0,0,0.012737036754720649,0.0020877919631880192,0.9934324462869184,0.006727620373970298,0.04401666666666666,0.31711830461894475,0.0
xgb_pca4,5000,real_amplitudes,rx_embedding,0.054207625388746856,12,14.2,3,0.010338841208470426,0.0024770383601171605,0.9587328177034469,0.046239945149143605,0.03868333333333334,0.2639405661995212,0.077
xgb_pca4,5000,efficient_su2_like,rx_embedding,0.06227846461635279,24,14.6,0,0.023082961898505932,0.0023134885934512025,0.9804626461332497,0.025002683988859162,0.11548333333333334,0.2494327202220758,0.135
xgb_pca4,5000,custom_ansatz_1,rx_embedding,0.05758732043966474,16,14.3,1,0.011146438620945463,0.003548066757730728,0.9527039680507828,0.045661547520978354,0.03401666666666666,0.22970038553873698,0.0
xgb_pca4,5000,strongly_entangling,custom_h_ry_rz,0.056453120129249496,24,15.9,1,0.011656509994958297,0.0017477054702671475,0.9965208122672378,0.009347808902936157,0.16019999999999998,0.27474674765765666,0.177
autoencoder,5000,strongly_entangling,rx_embedding,0.07002269771775481,24,13.3,2,0.013515858312643554,0.0028127767803547113,0.9986998536830841,0.003756069392262903,0.07636666666666667,0.27536736581722904,0.0
pca4,5000,strongly_entangling,custom_h_ry_rz,0.08345088626092888,24,16.3,1,0.03929683944468373,0.004078940138959092,0.9894550746743378,0.015875308832635222,0.07288333333333333,0.2799065622205536,0.0
