feature_set,ansatz,encoding,auc,f1,threshold
pca4,real_amplitudes,zz_feature_map,0.9752977001218808,0.9614325068870524,0.4349999999999999
xgb_pca4,real_amplitudes,zz_feature_map,0.9803481470397524,0.960635359116022,0.4049999999999999
pca4,strongly_entangling,zz_feature_map,0.977776243076258,0.9595650696568128,0.4049999999999999
pca4,strongly_entangling,iqp_embedding,0.975965295282967,0.9591700133868808,0.4299999999999999
xgb_pca4,custom_ansatz_1,zz_feature_map,0.9759959893133616,0.9571527297857636,0.3949999999999999
autoencoder,efficient_su2_like,zz_feature_map,0.9700937830520352,0.9536560247167868,0.4549999999999999
xgb_pca4,strongly_entangling,ry_embedding,0.9626965217268972,0.9530107901148626,0.4349999999999999
autoencoder,efficient_su2_like,custom_h_ry_rz,0.9570859087543212,0.9528105482303956,0.5249999999999999
autoencoder,real_amplitudes,zz_feature_map,0.9627502362800884,0.951949860724234,0.4649999999999999
ica4,custom_ansatz_1,custom_h_ry_rz,0.922149068116448,0.9537856440511308,0.4549999999999999
autoencoder,efficient_su2_like,rx_embedding,0.93757217893085,0.9516505501833944,0.4599999999999999
ica4,real_amplitudes,iqp_embedding,0.9731133082921202,0.9503881201484982,0.3849999999999999
autoencoder,strongly_entangling,zz_feature_map,0.9634536411433016,0.9487983281086728,0.4549999999999999
pca4,efficient_su2_like,iqp_embedding,0.9660958855931172,0.9492317969271876,0.4299999999999999
pca4,real_amplitudes,iqp_embedding,0.9577573406692066,0.9495881383855024,0.4249999999999999
pca4,strongly_entangling,rx_embedding,0.9557238611555536,0.9484674974738968,0.4999999999999999
xgb_pca4,efficient_su2_like,zz_feature_map,0.9663938734715332,0.9487095720352826,0.3749999999999999
ica4,custom_ansatz_1,zz_feature_map,0.951119756596339,0.9465597862391448,0.3999999999999999
ica4,strongly_entangling,zz_feature_map,0.9601681009731288,0.9444825222755312,0.4549999999999999
autoencoder,real_amplitudes,iqp_embedding,0.961073574869774,0.9427679500520292,0.5399999999999999
ica4,custom_ansatz_1,iqp_embedding,0.9645100273560544,0.9426399447131996,0.4199999999999999
xgb_pca4,real_amplitudes,ry_embedding,0.9548452445355036,0.9400564174894216,0.4549999999999999
ica4,real_amplitudes,zz_feature_map,0.947175573690612,0.94141689373297,0.4599999999999999
ica4,real_amplitudes,custom_h_ry_rz,0.8889208618372169,0.9401076716016152,0.4199999999999999
ica4,strongly_entangling,custom_h_ry_rz,0.958729318298374,0.9414458619561662,0.4049999999999999
xgb_pca4,strongly_entangling,zz_feature_map,0.9435830932164916,0.9379310344827586,0.3899999999999999
autoencoder,custom_ansatz_1,iqp_embedding,0.958761291246702,0.9365853658536586,0.585
pca4,efficient_su2_like,custom_h_ry_rz,0.9387436677575836,0.932536893886156,0.4799999999999999
