feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,TPR,FPR,TP,TN,FP,FN,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
autoencoder,5000,custom_ansatz_1,IQP_style_encoding,0.909,0.9365853658536586,0.958761291246702,0.9579472558802566,0.916155419222904,0.916155419222904,0.1106941838649155,1344,474,59,123,0.585,20,0.92,0.9449793672627236,0.9581525821236416
pca4,5000,EfficientSU2_like,custom_h_ry_rz,0.904,0.932536893886156,0.9387436677575836,0.962291515591008,0.9045671438309476,0.9045671438309476,0.0975609756097561,1327,481,52,140,0.4799999999999999,20,0.911,0.9383229383229384,0.937187996586804
xgb_pca4,5000,strongly_entangling,rx_embedding,0.8995,0.9282911166607206,0.9491387127179436,0.9738023952095808,0.8868438991138378,0.8868438991138378,0.0656660412757973,1301,498,35,166,0.4399999999999999,20,0.904,0.9317211948790896,0.9392778126932056
pca4,5000,custom_ansatz_1,IQP_style_encoding,0.8875,0.928092042186002,0.9362395464445442,0.8736462093862816,0.9897750511247444,0.9897750511247444,0.3939962476547842,1452,323,210,15,0.4049999999999999,14,0.883,0.9256198347107438,0.9385164860431964
pca4,5000,EfficientSU2_like,amplitude_embedding,0.8845,0.9228199131306382,0.9430261244566196,0.9049803407601572,0.9413769597818678,0.9413769597818678,0.2720450281425891,1381,388,145,86,0.4249999999999999,14,0.881,0.9208250166334,0.925839630884314
pca4,5000,custom_ansatz_1,amplitude_embedding,0.883,0.9217914438502672,0.938269189204398,0.9042622950819672,0.940013633265167,0.940013633265167,0.273921200750469,1379,387,146,88,0.4299999999999999,19,0.872,0.9140939597315436,0.9193044846738304
pca4,5000,Real_Amplitude_like,amplitude_embedding,0.8825,0.9215882549215882,0.9383446453624518,0.9026143790849672,0.9413769597818678,0.9413769597818678,0.2795497185741088,1381,384,149,86,0.4349999999999999,18,0.87,0.9128686327077749,0.9186606782449632
pca4,5000,strongly_entangling,amplitude_embedding,0.878,0.917400135409614,0.9367549503715896,0.9112306657700068,0.923653715064758,0.923653715064758,0.24765478424015,1355,401,132,112,0.4099999999999999,20,0.883,0.9212121212121211,0.920254865592634
ica4,5000,strongly_entangling,ry_embedding,0.8745,0.9178933595027804,0.9260133186513556,0.8823899371069183,0.956373551465576,0.956373551465576,0.350844277673546,1403,346,187,64,0.3349999999999999,20,0.871,0.9156311314584696,0.9171993398429316
xgb_pca4,5000,custom_ansatz_1,ry_embedding,0.871,0.9075931232091692,0.9182502867973464,0.9562264150943396,0.863667348329925,0.863667348329925,0.1088180112570356,1267,475,58,200,0.4299999999999999,20,0.868,0.906515580736544,0.9086561307233626
ica4,5000,strongly_entangling,rx_embedding,0.869,0.9152652005174644,0.919731273763894,0.8707692307692307,0.9645535105657804,0.9645535105657804,0.3939962476547842,1415,323,210,52,0.3349999999999999,20,0.87,0.916452442159383,0.9112006989898372
ica4,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.8685,0.9148040168448331,0.9181287895937004,0.8716049382716049,0.9625085207907292,0.9625085207907292,0.3902439024390244,1412,325,208,55,0.3849999999999999,20,0.865,0.9131832797427653,0.9158044259137198
autoencoder,5000,strongly_entangling,custom_h_ry_rz,0.8665,0.9059528002817894,0.9015591288522606,0.9373177842565598,0.8766189502385822,0.8766189502385822,0.1613508442776735,1286,447,86,181,0.5049999999999999,20,0.864,0.904494382022472,0.8995764162464042
autoencoder,5000,strongly_entangling,ry_embedding,0.8635,0.9059593523940752,0.9229477523656784,0.9157381615598886,0.896387184730743,0.896387184730743,0.2270168855534709,1315,412,121,152,0.5149999999999999,20,0.882,0.9198369565217392,0.9185533771734854
pca4,5000,strongly_entangling,ry_embedding,0.858,0.900070372976777,0.9175264192472036,0.9301818181818182,0.8718473074301295,0.8718473074301295,0.1801125703564728,1279,437,96,188,0.4999999999999999,13,0.861,0.9024561403508772,0.9051049762149292
autoencoder,5000,Real_Amplitude_like,amplitude_embedding,0.8565,0.8989792326645547,0.9177515088034316,0.9294032023289666,0.8704839809134287,0.8704839809134287,0.1819887429643527,1277,436,97,190,0.5199999999999999,20,0.877,0.9133192389006344,0.9283841991507886
xgb_pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.855,0.89568345323741,0.8982774254358872,0.9482102056359482,0.8486707566462167,0.8486707566462167,0.1275797373358349,1245,465,68,222,0.4849999999999999,20,0.866,0.9048295454545454,0.9167956834311816
autoencoder,5000,custom_ansatz_1,amplitude_embedding,0.853,0.8964059196617337,0.9028188630163791,0.9277899343544858,0.8670756646216768,0.8670756646216768,0.1857410881801125,1272,434,99,195,0.5349999999999999,20,0.871,0.9085754783841248,0.9170664908972924
xgb_pca4,5000,EfficientSU2_like,ry_embedding,0.851,0.8942512420156139,0.8980574515513915,0.932642487046632,0.8588957055214724,0.8588957055214724,0.1707317073170731,1260,442,91,207,0.4349999999999999,20,0.848,0.8932584269662921,0.8875944632647117
autoencoder,5000,Real_Amplitude_like,custom_h_ry_rz,0.8455,0.8868546320029294,0.9000340192170209,0.9580696202531646,0.825494205862304,0.825494205862304,0.099437148217636,1211,480,53,256,0.5349999999999999,20,0.886,0.9182209469153516,0.9218388337906402
autoencoder,5000,custom_ansatz_1,custom_h_ry_rz,0.8455,0.8934850051706308,0.8821796854117668,0.9037656903765692,0.8834355828220859,0.8834355828220859,0.2589118198874296,1296,395,138,171,0.4949999999999999,20,0.882,0.9190672153635115,0.9112466851633276
xgb_pca4,5000,Real_Amplitude_like,rx_embedding,0.84,0.886765746638358,0.8945007807793982,0.922001471670346,0.8541240627130198,0.8541240627130198,0.198874296435272,1253,427,106,214,0.4149999999999999,20,0.836,0.8848314606741573,0.8831031469871392
xgb_pca4,5000,EfficientSU2_like,rx_embedding,0.8025,0.8580668343514193,0.8710543783115982,0.9072948328267476,0.8139059304703476,0.8139059304703476,0.2288930581613508,1194,411,122,273,0.4549999999999999,20,0.799,0.8557071069633884,0.8564107280633179
xgb_pca4,5000,custom_ansatz_1,rx_embedding,0.7945,0.8591983556012333,0.8527428313452553,0.8636363636363636,0.8548057259713702,0.8548057259713702,0.3714821763602251,1254,335,198,213,0.3799999999999999,20,0.781,0.8519269776876268,0.8403768822396287
xgb_pca4,5000,strongly_entangling,custom_h_ry_rz,0.784,0.8627700127064803,0.7951020000997557,0.8078524687685901,0.9256987048398092,0.9256987048398092,0.6060037523452158,1358,210,323,109,0.4649999999999999,20,0.804,0.8767295597484277,0.8293453101767402
autoencoder,5000,strongly_entangling,rx_embedding,0.778,0.8645515558267236,0.6073325480777224,0.7824406405300939,0.9659168370824812,0.9659168370824812,0.7392120075046904,1417,139,394,50,0.4749999999999999,20,0.78,0.8660170523751523,0.5929610497110536
ica4,5000,EfficientSU2_like,amplitude_embedding,0.7335,0.8462647822324777,0.7656459622642475,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,1,0.733,0.845931909982689,0.7457782137948301
