feature_set,train_size,ansatz,encoding,sigma_noise,n_params,elapsed_s,gpu_id,sigma_epi_mean,sigma_epi_std,entropy_mean,entropy_std,vr_mean,ece,deploy_coverage
xgb_pca4,5000,custom_ansatz_1,Amplitude_Embedding,0.1560850735834289,16,12.7,0,0.0654504244707763,0.0039427839971429,0.969295645843794,0.0254638554317918,0.2401666666666667,0.4290446107593675,0.1735
xgb_pca4,5000,strongly_entangling,Amplitude_Embedding,0.1895621125588706,24,11.9,1,0.0566818552151445,0.0027255119112623,0.9302282476038228,0.0418669865382252,0.2846833333333333,0.4232039867306749,0.248
autoencoder,5000,strongly_entangling,Amplitude_Embedding,0.1089656799915396,24,12.1,1,0.0471710632918742,0.0079229675489714,0.9426339632605482,0.0695268234812576,0.0520666666666666,0.3453885132980844,1.0
ica4,5000,EfficientSU2_like,IQP_style_encoding,0.1447843477908232,24,22.8,2,0.0754035368470475,0.014696288651302,0.8738191794104169,0.0768383983662363,0.0599333333333333,0.2670571553113559,1.0
autoencoder,5000,custom_ansatz_1,RX_Angle_Encoding,0.0692950097122452,16,14.9,1,0.0182954049485445,0.0039667716801635,0.964477973927186,0.0423179395152583,0.0255666666666666,0.3630324621222913,1.0
pca4,5000,Real_Amplitude_like,Custom_H_RY_RZ,0.0851627771853637,12,15.8,3,0.0258421073759727,0.0029434761860074,0.9848531189144945,0.0175634846791788,0.0738166666666666,0.4163613799807926,1.0
xgb_pca4,5000,strongly_entangling,IQP_style_encoding,0.0935169437797928,24,18.8,2,0.0247734419682766,0.0021415147260445,0.999772428441067,0.0001433083897705,0.0803999999999999,0.2548357358838121,0.7545
ica4,5000,strongly_entangling,IQP_style_encoding,0.1218271704742798,24,18.0,1,0.0461682190032476,0.008732600840099,0.9216136138880582,0.0638552856869801,0.0191166666666666,0.3080062616165727,0.952
autoencoder,5000,EfficientSU2_like,RY_Angle_Encoding,0.1109082997184089,24,16.2,1,0.0647088667254139,0.0067591158134377,0.9652031228378628,0.0538779235381589,0.1555,0.3535105878390993,0.016
autoencoder,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.1387255296245315,16,20.5,2,0.0400223033971406,0.0087741858279431,0.9656447071229376,0.0254402681652874,0.0386666666666666,0.3554608325953285,1.0
