feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,TPR,FPR,TP,TN,FP,FN,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
xgb_pca4,5000,Real_Amplitude_like,rx_embedding,0.84,0.886765746638358,0.8945007807793982,0.922001471670346,0.8541240627130198,0.8541240627130198,0.198874296435272,1253,427,106,214,0.4149999999999999,20,0.836,0.8848314606741573,0.8831031469871392
xgb_pca4,5000,strongly_entangling,custom_h_ry_rz,0.784,0.8627700127064803,0.7951020000997557,0.8078524687685901,0.9256987048398092,0.9256987048398092,0.6060037523452158,1358,210,323,109,0.4649999999999999,20,0.804,0.8767295597484277,0.829342755389324
xgb_pca4,5000,custom_ansatz_1,rx_embedding,0.7945,0.8591983556012333,0.8527428313452553,0.8636363636363636,0.8548057259713702,0.8548057259713702,0.3714821763602251,1254,335,198,213,0.3799999999999999,20,0.781,0.8519269776876268,0.8403768822396287
xgb_pca4,5000,EfficientSU2_like,rx_embedding,0.8025,0.8580668343514193,0.8710543783115982,0.9072948328267476,0.8139059304703476,0.8139059304703476,0.2288930581613508,1194,411,122,273,0.4549999999999999,20,0.799,0.8557071069633884,0.8564107280633179
autoencoder,5000,strongly_entangling,rz_embedding,0.7335,0.8462647822324777,0.5,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,8,0.733,0.845931909982689,0.5
ica4,5000,custom_ansatz_1,rz_embedding,0.7335,0.8462647822324777,0.5,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,7,0.733,0.845931909982689,0.5
ica4,5000,EfficientSU2_like,rx_embedding,0.7335,0.8462647822324777,0.5028654156291446,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,1,0.733,0.845931909982689,0.4598464061805417
ica4,5000,EfficientSU2_like,ry_embedding,0.7335,0.8462647822324777,0.6127769017189936,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,1,0.733,0.845931909982689,0.641364052097225
ica4,5000,custom_ansatz_1,amplitude_embedding,0.7335,0.8462647822324777,0.6199599442903347,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,1,0.733,0.845931909982689,0.5748271686312982
ica4,5000,Real_Amplitude_like,amplitude_embedding,0.7335,0.8462647822324777,0.6886666129521135,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,1,0.733,0.845931909982689,0.6573110351487652
ica4,5000,EfficientSU2_like,amplitude_embedding,0.7335,0.8462647822324777,0.7629551189329732,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,1,0.733,0.845931909982689,0.7426562635723082
autoencoder,5000,EfficientSU2_like,rz_embedding,0.7335,0.8462647822324777,0.5,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,7,0.733,0.845931909982689,0.5
autoencoder,5000,custom_ansatz_1,rz_embedding,0.7335,0.8462647822324777,0.5,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,7,0.733,0.845931909982689,0.5
autoencoder,5000,Real_Amplitude_like,rz_embedding,0.7335,0.8462647822324777,0.5,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,6,0.733,0.845931909982689,0.5
ica4,5000,custom_ansatz_1,ry_embedding,0.7335,0.8462647822324777,0.2920562570420418,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,1,0.733,0.845931909982689,0.3389998518223299
ica4,5000,Real_Amplitude_like,rx_embedding,0.7335,0.8462647822324777,0.2009001024413264,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,1,0.733,0.845931909982689,0.2318571771642881
ica4,5000,custom_ansatz_1,rx_embedding,0.7335,0.8462647822324777,0.1729800450434896,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,1,0.733,0.845931909982689,0.2026610665726505
ica4,5000,strongly_entangling,rz_embedding,0.7335,0.8462647822324777,0.5,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,8,0.733,0.845931909982689,0.5
ica4,5000,Real_Amplitude_like,rz_embedding,0.7335,0.8462647822324777,0.5,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,6,0.733,0.845931909982689,0.5
ica4,5000,EfficientSU2_like,rz_embedding,0.7335,0.8462647822324777,0.5,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,7,0.733,0.845931909982689,0.5
ica4,5000,strongly_entangling,amplitude_embedding,0.7335,0.8462647822324777,0.2455656717964065,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,1,0.733,0.845931909982689,0.269100868116764
xgb_pca4,5000,custom_ansatz_1,rz_embedding,0.7335,0.8462647822324777,0.5,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,7,0.733,0.845931909982689,0.5
pca4,5000,strongly_entangling,rz_embedding,0.7335,0.8462647822324777,0.5,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,8,0.733,0.845931909982689,0.5
pca4,5000,custom_ansatz_1,rz_embedding,0.7335,0.8462647822324777,0.5,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,7,0.733,0.845931909982689,0.5
pca4,5000,EfficientSU2_like,rz_embedding,0.7335,0.8462647822324777,0.5,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,7,0.733,0.845931909982689,0.5
pca4,5000,Real_Amplitude_like,rx_embedding,0.7335,0.8462647822324777,0.6269677751048393,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,1,0.733,0.845931909982689,0.5814747254880921
pca4,5000,custom_ansatz_1,ry_embedding,0.7335,0.8462647822324777,0.6487861150437838,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,1,0.733,0.845931909982689,0.6056276857202711
pca4,5000,Real_Amplitude_like,ry_embedding,0.7335,0.8462647822324777,0.6756907116027272,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,1,0.733,0.845931909982689,0.6354727123156083
pca4,5000,custom_ansatz_1,rx_embedding,0.7335,0.8462647822324777,0.5990003977434771,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,1,0.733,0.845931909982689,0.5565604386059035
xgb_pca4,5000,strongly_entangling,rz_embedding,0.7335,0.8462647822324777,0.5,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,8,0.733,0.845931909982689,0.5
pca4,5000,EfficientSU2_like,rx_embedding,0.7335,0.8462647822324777,0.2859238455527547,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,1,0.733,0.845931909982689,0.3064722984400468
pca4,5000,Real_Amplitude_like,rz_embedding,0.7335,0.8462647822324777,0.5,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,6,0.733,0.845931909982689,0.5
pca4,5000,EfficientSU2_like,ry_embedding,0.7335,0.8462647822324777,0.269855520641096,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,1,0.733,0.845931909982689,0.2839492925793644
xgb_pca4,5000,Real_Amplitude_like,rz_embedding,0.7335,0.8462647822324777,0.5,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,6,0.733,0.845931909982689,0.5
xgb_pca4,5000,EfficientSU2_like,rz_embedding,0.7335,0.8462647822324777,0.5,0.7335,1.0,1.0,1.0,1467,0,533,0,0.05,7,0.733,0.845931909982689,0.5
ica4,5000,Real_Amplitude_like,ry_embedding,0.7165,0.8219780219780219,0.3852004895697847,0.7619324796274738,0.8922972051806408,0.8922972051806408,0.7673545966228893,1309,124,409,158,0.4249999999999999,1,0.745,0.8413192283758556,0.4221121960441671
pca4,5000,strongly_entangling,custom_h_ry_rz,0.7195,0.8126878130217028,0.7375737136323699,0.7964659685863874,0.8295841854124063,0.8295841854124063,0.5834896810506567,1217,222,311,250,0.4349999999999999,1,0.754,0.837730870712401,0.7650259821880221
