feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,TPR,FPR,TP,TN,FP,FN,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
autoencoder,5000,strongly_entangling,ry_embedding,0.87,0.9210686095931998,0.665303125,0.8955135773317592,0.948125,0.948125,0.4425,1517,223,177,83,0.5099999999999999,11,0.878,0.9255189255189256,0.6880000000000001
pca4,5000,Real_Amplitude_like,amplitude_embedding,0.867,0.9180024660912454,0.6495031250000001,0.9057177615571776,0.930625,0.930625,0.3875,1489,245,155,111,0.4799999999999999,15,0.875,0.9226006191950464,0.6696625
autoencoder,5000,custom_ansatz_1,amplitude_embedding,0.863,0.9209463358338142,0.394915625,0.8553054662379421,0.9975,0.9975,0.675,1596,130,270,4,0.4949999999999999,20,0.854,0.9161882893226176,0.3492062499999999
autoencoder,5000,Real_Amplitude_like,amplitude_embedding,0.86,0.9193548387096774,0.3671734374999999,0.8525641025641025,0.9975,0.9975,0.69,1596,124,276,4,0.4899999999999999,20,0.853,0.9156626506024096,0.3158625
autoencoder,5000,strongly_entangling,amplitude_embedding,0.854,0.9150668993600932,0.44742421875,0.8558215451577802,0.983125,0.983125,0.6625,1573,135,265,27,0.4999999999999999,4,0.841,0.9082515868436236,0.3720593749999999
autoencoder,5000,EfficientSU2_like,amplitude_embedding,0.8535,0.9159253945480632,0.335803125,0.846684350132626,0.9975,0.9975,0.7225,1596,111,289,4,0.4699999999999999,11,0.851,0.9146131805157592,0.3072875
pca4,5000,Real_Amplitude_like,rx_embedding,0.8515,0.914924090518476,0.88335625,0.8445267054468535,0.998125,0.998125,0.735,1597,106,294,3,0.4899999999999999,19,0.849,0.9135661133371494,0.8875312500000001
xgb_pca4,5000,Real_Amplitude_like,ry_embedding,0.8515,0.9148264984227128,0.3316187500000001,0.84525702172761,0.996875,0.996875,0.73,1595,108,292,5,0.3999999999999999,5,0.842,0.9096109839816934,0.30165625
xgb_pca4,5000,Real_Amplitude_like,rx_embedding,0.851,0.9146620847651776,0.3335937499999999,0.8440803382663847,0.998125,0.998125,0.7375,1597,105,295,3,0.4249999999999999,15,0.846,0.912,0.30356875
xgb_pca4,5000,custom_ansatz_1,ry_embedding,0.851,0.9145642201834864,0.3310671875,0.8448093220338984,0.996875,0.996875,0.7325,1595,107,293,5,0.3849999999999999,6,0.842,0.9096109839816934,0.301725
ica4,5000,EfficientSU2_like,amplitude_embedding,0.802,0.8898163606010017,0.1972875,0.8019057171514543,0.999375,0.999375,0.9875,1599,5,395,1,0.4149999999999999,5,0.803,0.8903728436282693,0.1816625
pca4,5000,EfficientSU2_like,ry_embedding,0.8015,0.8896302474284126,0.43199140625,0.801201802704056,1.0,1.0,0.9925,1600,3,397,0,0.3549999999999999,1,0.803,0.8903728436282693,0.47905625
pca4,5000,EfficientSU2_like,rx_embedding,0.801,0.889321468298109,0.1095609375,0.8011022044088176,0.999375,0.999375,0.9925,1599,3,397,1,0.4699999999999999,1,0.803,0.8903728436282693,0.11473125
xgb_pca4,5000,EfficientSU2_like,rx_embedding,0.8005,0.8891358710752987,0.24633125,0.80040020010005,1.0,1.0,0.9975,1600,1,399,0,0.3349999999999999,17,0.802,0.8898776418242491,0.22149375
pca4,5000,custom_ansatz_1,rz_embedding,0.8,0.8888888888888888,0.5,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,8,0.8,0.8888888888888888,0.5
pca4,5000,EfficientSU2_like,rz_embedding,0.8,0.8888888888888888,0.5,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,7,0.8,0.8888888888888888,0.5
pca4,5000,strongly_entangling,rz_embedding,0.8,0.8888888888888888,0.5,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,8,0.8,0.8888888888888888,0.5
pca4,5000,Real_Amplitude_like,rz_embedding,0.8,0.8888888888888888,0.5,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,6,0.8,0.8888888888888888,0.5
ica4,5000,custom_ansatz_1,rz_embedding,0.8,0.8888888888888888,0.5,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,8,0.8,0.8888888888888888,0.5
ica4,5000,EfficientSU2_like,rz_embedding,0.8,0.8888888888888888,0.5,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,7,0.8,0.8888888888888888,0.5
ica4,5000,strongly_entangling,rz_embedding,0.8,0.8888888888888888,0.5,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,8,0.8,0.8888888888888888,0.5
ica4,5000,Real_Amplitude_like,rz_embedding,0.8,0.8888888888888888,0.5,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,6,0.8,0.8888888888888888,0.5
xgb_pca4,5000,custom_ansatz_1,rz_embedding,0.8,0.8888888888888888,0.5,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,8,0.8,0.8888888888888888,0.5
xgb_pca4,5000,EfficientSU2_like,rz_embedding,0.8,0.8888888888888888,0.5,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,7,0.8,0.8888888888888888,0.5
xgb_pca4,5000,strongly_entangling,rz_embedding,0.8,0.8888888888888888,0.5,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,8,0.8,0.8888888888888888,0.5
xgb_pca4,5000,Real_Amplitude_like,rz_embedding,0.8,0.8888888888888888,0.5,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,6,0.8,0.8888888888888888,0.5
autoencoder,5000,custom_ansatz_1,rz_embedding,0.8,0.8888888888888888,0.5,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,8,0.8,0.8888888888888888,0.5
autoencoder,5000,EfficientSU2_like,rz_embedding,0.8,0.8888888888888888,0.5,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,7,0.8,0.8888888888888888,0.5
autoencoder,5000,strongly_entangling,rz_embedding,0.8,0.8888888888888888,0.5,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,8,0.8,0.8888888888888888,0.5
autoencoder,5000,Real_Amplitude_like,rz_embedding,0.8,0.8888888888888888,0.5,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,6,0.8,0.8888888888888888,0.5
pca4,5000,strongly_entangling,amplitude_embedding,0.8,0.8888888888888888,0.4073140625,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,12,0.8,0.8888888888888888,0.4327656249999999
xgb_pca4,5000,custom_ansatz_1,rx_embedding,0.8,0.8888888888888888,0.2953765625,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,1,0.8,0.8888888888888888,0.26639375
xgb_pca4,5000,strongly_entangling,ry_embedding,0.8,0.8888888888888888,0.2940812499999999,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,1,0.8,0.8888888888888888,0.267525
xgb_pca4,5000,strongly_entangling,rx_embedding,0.8,0.8888888888888888,0.2939625,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,1,0.8,0.8888888888888888,0.2660875
xgb_pca4,5000,EfficientSU2_like,ry_embedding,0.8,0.8888888888888888,0.2658203125,0.8,1.0,1.0,1.0,1600,0,400,0,0.2199999999999999,11,0.801,0.8893829905503057,0.24308125
pca4,5000,EfficientSU2_like,amplitude_embedding,0.8,0.8888888888888888,0.1302257812499999,0.8,1.0,1.0,1.0,1600,0,400,0,0.4299999999999999,5,0.801,0.8893829905503057,0.13058125
