feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,TPR,FPR,TP,TN,FP,FN,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
ica4,5000,custom_ansatz_1,custom_h_ry_rz,0.905,0.941358024691358,0.8681765625000001,0.929878048780488,0.953125,0.953125,0.2875,1525,285,115,75,0.5599999999999999,12,0.909,0.9436532507739938,0.8925562499999999
ica4,5000,Real_Amplitude_like,rx_embedding,0.9045,0.9396142902307936,0.908903125,0.9507357645553424,0.92875,0.92875,0.1925,1486,323,77,114,0.4399999999999999,1,0.911,0.9434920634920636,0.91295625
ica4,5000,custom_ansatz_1,rx_embedding,0.9045,0.9396142902307936,0.90889375,0.9507357645553424,0.92875,0.92875,0.1925,1486,323,77,114,0.4399999999999999,1,0.911,0.9434920634920636,0.9129562499999998
pca4,5000,strongly_entangling,rx_embedding,0.9045,0.9394227719632096,0.902140625,0.9536381197681906,0.925625,0.925625,0.18,1481,328,72,119,0.5149999999999999,19,0.906,0.9399744572158364,0.8979687500000001
pca4,5000,strongly_entangling,ry_embedding,0.9045,0.9393843224373216,0.900309375,0.9542230818826564,0.925,0.925,0.1775,1480,329,71,120,0.5149999999999999,20,0.906,0.9399744572158364,0.899625
autoencoder,5000,Real_Amplitude_like,IQP_style_encoding,0.9045,0.9410311824637234,0.8752890625000002,0.9298352654057352,0.9525,0.9525,0.2875,1524,285,115,76,0.4849999999999999,19,0.912,0.9455445544554456,0.8886375000000001
pca4,5000,Real_Amplitude_like,ry_embedding,0.9035,0.9389047166824944,0.90773046875,0.9512508017960232,0.926875,0.926875,0.19,1483,324,76,117,0.4999999999999999,18,0.906,0.940127388535032,0.90905625
ica4,5000,strongly_entangling,amplitude_embedding,0.9035,0.9388660120367436,0.9007109375000001,0.9518304431599228,0.92625,0.92625,0.1875,1482,325,75,118,0.5249999999999999,1,0.907,0.9407265774378584,0.90285625
ica4,5000,strongly_entangling,custom_h_ry_rz,0.9035,0.9404872032069072,0.845853125,0.928180158247109,0.953125,0.953125,0.295,1525,282,118,75,0.5249999999999999,1,0.909,0.9437924644842496,0.8704562499999999
xgb_pca4,5000,Real_Amplitude_like,IQP_style_encoding,0.903,0.9411764705882352,0.70816875,0.9140164899882216,0.97,0.97,0.365,1552,254,146,48,0.3549999999999999,10,0.91,0.945321992709599,0.7383625
ica4,5000,Real_Amplitude_like,custom_h_ry_rz,0.902,0.9393939393939394,0.8761640624999998,0.9296205630354956,0.949375,0.949375,0.2875,1519,285,115,81,0.57,5,0.908,0.942998760842627,0.8887125
autoencoder,5000,custom_ansatz_1,ry_embedding,0.9,0.9406175771971496,0.7096484375000001,0.8959276018099548,0.99,0.99,0.46,1584,216,184,16,0.4499999999999999,2,0.907,0.9444776119402986,0.7369375
autoencoder,5000,Real_Amplitude_like,ry_embedding,0.898,0.9392857142857144,0.7043140625000001,0.8965909090909091,0.98625,0.98625,0.455,1578,218,182,22,0.4449999999999999,8,0.906,0.9437125748502994,0.7312875
xgb_pca4,5000,EfficientSU2_like,IQP_style_encoding,0.891,0.9342184671092336,0.7417984375,0.9031505250875146,0.9675,0.9675,0.415,1548,234,166,52,0.3649999999999999,2,0.901,0.9400363416111448,0.76628125
