feature_set,train_size,ansatz,encoding,threshold,TP,TN,FP,FN,TPR_point,FPR_point,elapsed_s,gpu_id,accuracy_mean_B,accuracy_std_B,accuracy_ci_low_B,accuracy_ci_high_B,accuracy_ci_width_B,accuracy_pm_B,accuracy_ci_str_B,f1_mean_B,f1_std_B,f1_ci_low_B,f1_ci_high_B,f1_ci_width_B,f1_pm_B,f1_ci_str_B,auc_mean_B,auc_std_B,auc_ci_low_B,auc_ci_high_B,auc_ci_width_B,auc_pm_B,auc_ci_str_B,tpr_mean_B,tpr_std_B,tpr_ci_low_B,tpr_ci_high_B,tpr_ci_width_B,tpr_pm_B,tpr_ci_str_B,fpr_mean_B,fpr_std_B,fpr_ci_low_B,fpr_ci_high_B,fpr_ci_width_B,fpr_pm_B,fpr_ci_str_B,prec_mean_B,prec_std_B,prec_ci_low_B,prec_ci_high_B,prec_ci_width_B,prec_pm_B,prec_ci_str_B,n_subsets,n_valid,subset_size
xgb_pca4,5000,strongly_entangling,zz_feature_map,0.4649999999999999,1485,387,13,115,0.928125,0.0325,124.1,7,0.9334,0.0051,0.9240,0.9425,0.0185,0.9334 ± 0.0051,"[0.9240, 0.9425]",0.9569,0.0034,0.9506,0.9631,0.0124,0.9569 ± 0.0034,"[0.9506, 0.9631]",0.9266,0.0071,0.9126,0.9405,0.0279,0.9266 ± 0.0071,"[0.9126, 0.9405]",0.9240,0.0063,0.9120,0.9351,0.0231,0.9240 ± 0.0063,"[0.9120, 0.9351]",0.0287,0.0078,0.0150,0.0428,0.0278,0.0287 ± 0.0078,"[0.0150, 0.0428]",0.9923,0.0021,0.9886,0.9960,0.0074,0.9923 ± 0.0021,"[0.9886, 0.9960]",200,200,2000
pca4,5000,efficient_su2_like,zz_feature_map,0.63,1481,386,14,119,0.925625,0.035,145.5,6,0.1990,0.0000,0.1990,0.1990,0.0000,0.1990 ± 0.0000,"[0.1990, 0.1990]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",0.9440,0.0065,0.9318,0.9568,0.0250,0.9440 ± 0.0065,"[0.9318, 0.9568]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",200,200,2000
pca4,5000,strongly_entangling,custom_h_ry_rz,0.59,1481,386,14,119,0.925625,0.035,103.4,5,0.1989,0.0002,0.1985,0.1990,0.0005,0.1989 ± 0.0002,"[0.1985, 0.1990]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",0.9492,0.0062,0.9375,0.9604,0.0229,0.9492 ± 0.0062,"[0.9375, 0.9604]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",0.0005,0.0011,0.0000,0.0025,0.0025,0.0005 ± 0.0011,"[0.0000, 0.0025]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",200,200,2000
ica4,5000,strongly_entangling,zz_feature_map,0.71,1480,386,14,120,0.925,0.035,116.7,5,0.1990,0.0000,0.1990,0.1990,0.0000,0.1990 ± 0.0000,"[0.1990, 0.1990]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",0.9520,0.0047,0.9434,0.9609,0.0175,0.9520 ± 0.0047,"[0.9434, 0.9609]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]",200,200,2000
ica4,5000,real_amplitudes,ry_embedding,0.6499999999999999,1481,385,15,119,0.925625,0.0375,89.6,5,0.9261,0.0055,0.9150,0.9365,0.0215,0.9261 ± 0.0055,"[0.9150, 0.9365]",0.9520,0.0037,0.9446,0.9590,0.0144,0.9520 ± 0.0037,"[0.9446, 0.9590]",0.9196,0.0068,0.9069,0.9334,0.0265,0.9196 ± 0.0068,"[0.9069, 0.9334]",0.9159,0.0065,0.9038,0.9276,0.0238,0.9159 ± 0.0065,"[0.9038, 0.9276]",0.0327,0.0084,0.0175,0.0503,0.0328,0.0327 ± 0.0084,"[0.0175, 0.0503]",0.9912,0.0023,0.9865,0.9953,0.0088,0.9912 ± 0.0023,"[0.9865, 0.9953]",200,200,2000
ica4,5000,custom_ansatz_1,ry_embedding,0.6699999999999999,1481,385,15,119,0.925625,0.0375,95.1,4,0.9262,0.0054,0.9155,0.9365,0.0210,0.9262 ± 0.0054,"[0.9155, 0.9365]",0.9521,0.0037,0.9450,0.9590,0.0140,0.9521 ± 0.0037,"[0.9450, 0.9590]",0.9189,0.0068,0.9062,0.9325,0.0263,0.9189 ± 0.0068,"[0.9062, 0.9325]",0.9160,0.0064,0.9044,0.9276,0.0232,0.9160 ± 0.0064,"[0.9044, 0.9276]",0.0327,0.0084,0.0175,0.0503,0.0328,0.0327 ± 0.0084,"[0.0175, 0.0503]",0.9912,0.0023,0.9865,0.9953,0.0088,0.9912 ± 0.0023,"[0.9865, 0.9953]",200,200,2000
ica4,5000,custom_ansatz_1,zz_feature_map,0.6699999999999999,1480,385,15,120,0.925,0.0375,133.1,4,0.9261,0.0055,0.9150,0.9365,0.0215,0.9261 ± 0.0055,"[0.9150, 0.9365]",0.9520,0.0037,0.9446,0.9590,0.0144,0.9520 ± 0.0037,"[0.9446, 0.9590]",0.9544,0.0049,0.9457,0.9635,0.0178,0.9544 ± 0.0049,"[0.9457, 0.9635]",0.9159,0.0065,0.9038,0.9276,0.0238,0.9159 ± 0.0065,"[0.9038, 0.9276]",0.0327,0.0084,0.0176,0.0504,0.0328,0.0327 ± 0.0084,"[0.0176, 0.0504]",0.9912,0.0022,0.9866,0.9953,0.0087,0.9912 ± 0.0022,"[0.9866, 0.9953]",200,200,2000
ica4,5000,real_amplitudes,amplitude_embedding,0.5249999999999999,1481,384,16,119,0.925625,0.04,86.8,7,0.2017,0.0016,0.1990,0.2050,0.0060,0.2017 ± 0.0016,"[0.1990, 0.2050]",0.0092,0.0034,0.0037,0.0161,0.0124,0.0092 ± 0.0034,"[0.0037, 0.0161]",0.9653,0.0055,0.9543,0.9744,0.0200,0.9653 ± 0.0055,"[0.9543, 0.9744]",0.0046,0.0017,0.0019,0.0081,0.0063,0.0046 ± 0.0017,"[0.0019, 0.0081]",0.0049,0.0034,0.0000,0.0126,0.0126,0.0049 ± 0.0034,"[0.0000, 0.0126]",0.7905,0.1421,0.5000,1.0000,0.5000,0.7905 ± 0.1421,"[0.5000, 1.0000]",200,200,2000
pca4,5000,efficient_su2_like,custom_h_ry_rz,0.59,1481,384,16,119,0.925625,0.04,124.5,5,0.1985,0.0009,0.1970,0.2000,0.0030,0.1985 ± 0.0009,"[0.1970, 0.2000]",0.0017,0.0013,0.0000,0.0050,0.0050,0.0017 ± 0.0013,"[0.0000, 0.0050]",0.9054,0.0085,0.8905,0.9227,0.0322,0.9054 ± 0.0085,"[0.8905, 0.9227]",0.0009,0.0007,0.0000,0.0025,0.0025,0.0009 ± 0.0007,"[0.0000, 0.0025]",0.0058,0.0035,0.0000,0.0126,0.0126,0.0058 ± 0.0035,"[0.0000, 0.0126]",0.3683,0.2723,0.0000,1.0000,1.0000,0.3683 ± 0.2723,"[0.0000, 1.0000]",200,200,2000
pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.5199999999999999,1481,383,17,119,0.925625,0.0425,111.9,6,0.1978,0.0010,0.1960,0.1995,0.0035,0.1978 ± 0.0010,"[0.1960, 0.1995]",0.0011,0.0010,0.0000,0.0037,0.0037,0.0011 ± 0.0010,"[0.0000, 0.0037]",0.9113,0.0081,0.8965,0.9270,0.0305,0.9113 ± 0.0081,"[0.8965, 0.9270]",0.0005,0.0005,0.0000,0.0019,0.0019,0.0005 ± 0.0005,"[0.0000, 0.0019]",0.0082,0.0047,0.0000,0.0176,0.0176,0.0082 ± 0.0047,"[0.0000, 0.0176]",0.2206,0.2520,0.0000,1.0000,1.0000,0.2206 ± 0.2520,"[0.0000, 1.0000]",200,200,2000
