feature_set,train_size,ansatz,encoding,sigma_noise,n_params,elapsed_s,gpu_id,sigma_epi_mean,sigma_epi_std,entropy_mean,entropy_std,vr_mean,ece,deploy_coverage
ica4,5000,strongly_entangling,zz_feature_map,0.0972790608778798,24,20.5,1,0.025013959449006567,0.002259337546358459,0.9878564090252829,0.0055922621483331094,0.0,0.29156680866181844,0.0
ica4,5000,real_amplitudes,ry_embedding,0.056295688833218414,12,14.3,1,0.029673189261515413,0.009712402994585138,0.8699726600960822,0.07703081171172149,0.11403333333333333,0.31327423643022767,0.001
ica4,5000,custom_ansatz_1,ry_embedding,0.05429140761714522,16,12.1,0,0.028259828897819316,0.008337834646402873,0.8369132010195535,0.0769425877638361,0.06154999999999998,0.3029584794074298,0.0005
ica4,5000,custom_ansatz_1,zz_feature_map,0.09462320496496275,16,22.7,0,0.029179208210854186,0.002760508202468499,0.8161672233838299,0.07022664055113917,0.0205,0.24577085929786158,0.867
ica4,5000,real_amplitudes,amplitude_embedding,0.051723645420432875,12,13.3,3,0.014572579450700972,0.0006337358454942012,0.9989456715430383,0.016303957514140297,0.22538333333333332,0.4198301466204848,0.0
pca4,5000,efficient_su2_like,custom_h_ry_rz,0.06260746129092704,24,22.5,1,0.027369553220298666,0.004695536795236469,0.9960914084277618,0.003083714170698224,0.02489999999999999,0.3189429365292192,0.0
pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.03662691698557774,16,19.0,2,0.009950762611052266,0.0007333277710486663,0.9972833396137507,0.006225152267145282,0.08496666666666663,0.4193067474494378,0.0
ica4,5000,efficient_su2_like,zz_feature_map,0.0863697598335721,24,24.0,3,0.03444331240249099,0.008689689260491608,0.9114278562556877,0.05086805511799531,0.04415000000000001,0.282044147380193,0.9625
ica4,5000,strongly_entangling,iqp_embedding,0.06213809993179392,24,18.1,3,0.018239273172970236,0.0021373634938025026,0.9990137334682418,0.00053734466211287,0.0,0.37857622869561125,0.0005
autoencoder,5000,efficient_su2_like,custom_h_ry_rz,0.04233424238841691,24,22.7,2,0.01878754829934752,0.0017723747075680792,0.9844697897747348,0.01084646468588479,0.04951666666666667,0.31165509320596857,0.7985
pca4,5000,real_amplitudes,zz_feature_map,0.04479988690011696,12,25.0,1,0.011483626612964539,0.0020336176727677106,0.9936786552658703,0.0037371707696496003,0.22483333333333338,0.3603344452162584,0.0
pca4,5000,strongly_entangling,zz_feature_map,0.06270461910836735,24,21.0,3,0.01595359518237493,0.0019518042279682815,0.9856995454179118,0.006683312300372698,0.0,0.33922590669691566,0.0005
