feature_set,train_size,ansatz,encoding,sigma_noise,n_params,elapsed_s,gpu_id,sigma_epi_mean,sigma_epi_std,entropy_mean,entropy_std,vr_mean,ece,deploy_coverage
ica4,5000,Real_Amplitude_like,RX_Angle_Encoding,0.0373392713321486,12,15.0,1,0.0006007038078428,0.0002563965082686,0.935860452573887,0.0294748562347126,0.0,0.2966137497832377,0.0005
ica4,5000,custom_ansatz_1,RX_Angle_Encoding,0.0379599194364238,16,14.3,3,0.0008624920744337,0.0002993418842417,0.9359795893314348,0.0292769860474704,0.0,0.2924941728358467,0.0005
pca4,5000,strongly_entangling,RX_Angle_Encoding,0.018660769617283,24,14.8,2,0.0022782220726773,6.450173015971326e-05,0.9986167525954414,0.0059158764682694,0.0107166666666666,0.3869739316669603,0.9285
pca4,5000,strongly_entangling,RY_Angle_Encoding,0.0224609992704729,24,13.9,3,0.0061773975969553,0.000194737052958,0.9986853898486336,0.0036338678528263,0.0949166666666666,0.3859171195959051,0.837
autoencoder,5000,Real_Amplitude_like,IQP_style_encoding,0.0580080891968099,12,21.2,1,0.0352867869515804,0.0067585192591931,0.9482336826132508,0.0450593682857974,0.0328833333333333,0.2859447810391585,0.015
pca4,5000,Real_Amplitude_like,RY_Angle_Encoding,0.0236638424054246,12,16.2,0,0.0082509226058892,0.0002535363619818,0.998796628361298,0.0014051479345689,0.0607666666666666,0.3627153860638539,0.7565
ica4,5000,strongly_entangling,Amplitude_Embedding,0.0386067021626667,24,12.8,2,0.0087749037881107,0.0013785533153292,0.7962128112254346,0.0318416651302356,0.0,0.0420680503615799,0.78
ica4,5000,strongly_entangling,Custom_H_RY_RZ,0.053799277004411,24,17.6,3,0.0137284144615131,0.0018284044606379,0.962998684256036,0.0306437303776377,0.0005833333333333,0.4467644873917103,0.124
xgb_pca4,5000,Real_Amplitude_like,IQP_style_encoding,0.035097748479102,12,22.9,1,0.0105986493324216,0.0017226205789258,0.952279823384214,0.030091855349647,0.03675,0.2729122152651349,0.0
ica4,5000,Real_Amplitude_like,Custom_H_RY_RZ,0.0527501210901165,12,17.2,0,0.0142541331744974,0.0021433711016123,0.9921433997204082,0.0032711368758021,0.1212166666666666,0.3230423165207108,0.0005
autoencoder,5000,custom_ansatz_1,RY_Angle_Encoding,0.0447459052584644,16,17.9,1,0.0075063104921708,0.0015337599066731,0.9959103721470324,0.0198976886333633,0.0188666666666666,0.369324747771273,0.0535
autoencoder,5000,Real_Amplitude_like,RY_Angle_Encoding,0.0485981853854836,12,13.8,2,0.0252747056915032,0.001925528868905,0.9919985878718156,0.0356596405742887,0.0200999999999999,0.3568958096809684,0.061
xgb_pca4,5000,EfficientSU2_like,IQP_style_encoding,0.0495163950928099,24,24.7,3,0.0211185933566565,0.0029157368775011,0.9989157499042624,0.0007613077965384,0.0,0.3861548456609249,0.0
xgb_pca4,5000,custom_ansatz_1,IQP_style_encoding,0.0417865349001092,16,23.1,1,0.006247394594056,0.001414655555462,0.9984810641475744,0.0010661176314855,0.0,0.3511015413795908,0.0
ica4,5000,EfficientSU2_like,RX_Angle_Encoding,0.0445056213958746,24,16.7,2,0.0043878275771843,0.0003779253241493,0.7319494695093527,0.1145267822426707,0.0002666666666666,0.1618015788992245,0.242
pca4,5000,custom_ansatz_1,RX_Angle_Encoding,0.0180126779527017,16,17.5,3,0.0028777769927011,9.288400568570816e-05,0.999368367397829,0.0013207543963152,0.0773833333333333,0.3917168463026483,0.914
autoencoder,5000,custom_ansatz_1,RX_Angle_Encoding,0.0370971305137355,16,18.5,1,0.0103897461771158,0.0014511554480366,0.995445130926111,0.0176525796107396,0.2467499999999999,0.3293792096691826,0.138
ica4,5000,EfficientSU2_like,RY_Angle_Encoding,0.0491783645453189,24,16.9,2,0.0059509266170507,0.0028209753818008,0.6945128945354392,0.1307223349626952,0.01735,0.1093549605011938,0.2055
ica4,5000,strongly_entangling,RY_Angle_Encoding,0.0463370405898785,24,13.4,0,0.0227706877759892,0.0063568649450318,0.8681658344140935,0.0576838105799461,0.0,0.2336936668567359,0.0015
xgb_pca4,5000,Real_Amplitude_like,Amplitude_Embedding,0.0366915852303642,12,16.0,0,0.0133780771129747,0.0043811992180625,0.8342004672320936,0.1649695634526644,0.0571166666666666,0.2611501856454958,0.0
xgb_pca4,5000,custom_ansatz_1,Amplitude_Embedding,0.0347719935178963,16,15.4,0,0.0121243055754807,0.0029764709005037,0.8427919449143799,0.1156577185370593,0.0051166666666666,0.2347659819552054,0.0
xgb_pca4,5000,EfficientSU2_like,Amplitude_Embedding,0.0706751239748117,24,15.7,2,0.0219385923249593,0.0036436408190357,0.9138962660783744,0.1421335973913338,0.0856499999999999,0.3290143712849667,0.0
ica4,5000,strongly_entangling,RX_Angle_Encoding,0.0337408529464093,24,11.5,0,0.0016796667045692,0.0004924470149752,0.8050016992402889,0.0766204117864725,0.0,0.1982075586475432,0.0015
xgb_pca4,5000,strongly_entangling,Amplitude_Embedding,0.0619667043404038,24,11.6,2,0.0130116305622557,0.0048096121864187,0.7098421942879649,0.2301727029131671,0.0002666666666666,0.5829263047386581,0.0
autoencoder,5000,Real_Amplitude_like,RX_Angle_Encoding,0.0364428448305133,12,14.1,2,0.0067753999099917,0.0010953624689631,0.990980764387518,0.0183704797106984,0.0264333333333333,0.3585109194127222,0.119
xgb_pca4,5000,strongly_entangling,IQP_style_encoding,0.0539270293928746,24,21.2,3,0.0144954679579943,0.0019075133181964,0.9998273132779428,0.0002989881127147,0.0,0.3033831364174683,0.0
pca4,5000,custom_ansatz_1,Amplitude_Embedding,0.057669169472214,16,15.8,1,0.0306858651792153,0.0008753186297601,0.9948438712735732,0.0088936392803244,0.44905,0.3395388589898745,0.0005
autoencoder,5000,EfficientSU2_like,RY_Angle_Encoding,0.0460350763139613,24,13.2,0,0.0342940834476605,0.0032185629977264,0.9841402468495036,0.040316552124239,0.2943666666666666,0.3086834575626378,0.01
autoencoder,5000,EfficientSU2_like,RX_Angle_Encoding,0.0315184406265918,24,20.3,3,0.0121664963628317,0.0012151970861361,0.9762401764714658,0.0509643400285216,0.05125,0.3767166684735566,0.017
autoencoder,5000,strongly_entangling,RX_Angle_Encoding,0.0324301611977959,24,12.9,0,0.007718807203398,0.0005474748270201,0.9897904879161492,0.0089162754916435,0.0154666666666666,0.3715872063840429,0.007
autoencoder,5000,strongly_entangling,RY_Angle_Encoding,0.0349585926065291,24,13.6,1,0.0114194204268313,0.0018420823395818,0.9934139291900808,0.0082297839908553,0.1383833333333333,0.3241405291030804,0.001
pca4,5000,Real_Amplitude_like,RX_Angle_Encoding,0.0166944514895142,12,14.3,0,0.0018218278725245,1.966784715434967e-05,0.9989421690351192,0.0034281898480028,0.0211166666666666,0.3332823083167274,0.753
pca4,5000,Real_Amplitude_like,Amplitude_Embedding,0.0529065733693118,12,16.6,2,0.0205314015611859,0.0009619489217287,0.7271761780431957,0.0192345917085529,0.0,0.5976292444643875,0.0005
pca4,5000,EfficientSU2_like,Amplitude_Embedding,0.0671626341830664,24,15.6,0,0.0106952466138628,0.0004434153810466,0.5068646449108519,0.018422734487402,0.0,0.6879717640643319,0.0
